council_key,council_name,jurisdiction,universe
albury,Albury,NSW,inherited_V2_continuing_council_screen
ballina,Ballina,NSW,inherited_V2_continuing_council_screen
balranald,Balranald,NSW,inherited_V2_continuing_council_screen
bathurst,Bathurst Regional,NSW,inherited_V2_continuing_council_screen
begavalley,Bega Valley,NSW,inherited_V2_continuing_council_screen
bellingen,Bellingen,NSW,inherited_V2_continuing_council_screen
berrigan,Berrigan,NSW,inherited_V2_continuing_council_screen
blacktown,Blacktown,NSW,inherited_V2_continuing_council_screen
bland,Bland,NSW,inherited_V2_continuing_council_screen
blayney,Blayney,NSW,inherited_V2_continuing_council_screen
bluemountains,Blue Mountains,NSW,inherited_V2_continuing_council_screen
bogan,Bogan,NSW,inherited_V2_continuing_council_screen
bourke,Bourke,NSW,inherited_V2_continuing_council_screen
brewarrina,Brewarrina,NSW,inherited_V2_continuing_council_screen
brokenhill,Broken Hill,NSW,inherited_V2_continuing_council_screen
burwood,Burwood,NSW,inherited_V2_continuing_council_screen
byron,Byron,NSW,inherited_V2_continuing_council_screen
cabonne,Cabonne,NSW,inherited_V2_continuing_council_screen
camden,Camden,NSW,inherited_V2_continuing_council_screen
campbelltown,Campbelltown,NSW,inherited_V2_continuing_council_screen
canadabay,Canada Bay,NSW,inherited_V2_continuing_council_screen
carrathool,Carrathool,NSW,inherited_V2_continuing_council_screen
centraldarling,Central Darling,NSW,inherited_V2_continuing_council_screen
cessnock,Cessnock,NSW,inherited_V2_continuing_council_screen
clarencevalley,Clarence Valley,NSW,inherited_V2_continuing_council_screen
coffsharbour,Coffs Harbour,NSW,inherited_V2_continuing_council_screen
coolamon,Coolamon,NSW,inherited_V2_continuing_council_screen
coonamble,Coonamble,NSW,inherited_V2_continuing_council_screen
cowra,Cowra,NSW,inherited_V2_continuing_council_screen
dungog,Dungog,NSW,inherited_V2_continuing_council_screen
eurobodalla,Eurobodalla,NSW,inherited_V2_continuing_council_screen
fairfield,Fairfield,NSW,inherited_V2_continuing_council_screen
forbes,Forbes,NSW,inherited_V2_continuing_council_screen
gilgandra,Gilgandra,NSW,inherited_V2_continuing_council_screen
gleninnessevern,Glen Innes Severn,NSW,inherited_V2_continuing_council_screen
goulburnmulwaree,Goulburn Mulwaree,NSW,inherited_V2_continuing_council_screen
greaterhume,Greater Hume,NSW,inherited_V2_continuing_council_screen
griffith,Griffith,NSW,inherited_V2_continuing_council_screen
gunnedah,Gunnedah,NSW,inherited_V2_continuing_council_screen
gwydir,Gwydir,NSW,inherited_V2_continuing_council_screen
hawkesbury,Hawkesbury,NSW,inherited_V2_continuing_council_screen
hay,Hay,NSW,inherited_V2_continuing_council_screen
huntershill,Hunters Hill,NSW,inherited_V2_continuing_council_screen
junee,Junee,NSW,inherited_V2_continuing_council_screen
kempsey,Kempsey,NSW,inherited_V2_continuing_council_screen
kiama,Kiama,NSW,inherited_V2_continuing_council_screen
kuringgai,Ku-ring-gai,NSW,inherited_V2_continuing_council_screen
kyogle,Kyogle,NSW,inherited_V2_continuing_council_screen
lakemacquarie,Lake Macquarie,NSW,inherited_V2_continuing_council_screen
lanecove,Lane Cove,NSW,inherited_V2_continuing_council_screen
leeton,Leeton,NSW,inherited_V2_continuing_council_screen
lismore,Lismore,NSW,inherited_V2_continuing_council_screen
lithgow,Lithgow,NSW,inherited_V2_continuing_council_screen
liverpool,Liverpool,NSW,inherited_V2_continuing_council_screen
liverpoolplains,Liverpool Plains,NSW,inherited_V2_continuing_council_screen
lockhart,Lockhart,NSW,inherited_V2_continuing_council_screen
maitland,Maitland,NSW,inherited_V2_continuing_council_screen
midwestern,Mid-Western Regional,NSW,inherited_V2_continuing_council_screen
moreeplains,Moree Plains,NSW,inherited_V2_continuing_council_screen
mosman,Mosman,NSW,inherited_V2_continuing_council_screen
muswellbrook,Muswellbrook,NSW,inherited_V2_continuing_council_screen
nambuccavalley,Nambucca,NSW,inherited_V2_continuing_council_screen
narrabri,Narrabri,NSW,inherited_V2_continuing_council_screen
narrandera,Narrandera,NSW,inherited_V2_continuing_council_screen
narromine,Narromine,NSW,inherited_V2_continuing_council_screen
