disaster_id,reported_event_id,identity_status
event:1012,1012,inherited_label_requires_cross_source_identity_audit
event:Black Summer,Black Summer,inherited_label_requires_cross_source_identity_audit
event:follow-on flood,follow-on flood,inherited_label_requires_cross_source_identity_audit
event:987,987,inherited_label_requires_cross_source_identity_audit
event:1034,1034,inherited_label_requires_cross_source_identity_audit
event:1001,1001,inherited_label_requires_cross_source_identity_audit
event:1030,1030,inherited_label_requires_cross_source_identity_audit
snowy_q3_mention:jan2022,January 2022 Storm & Flood Event,provisional_source_mention_not_deduplicated_to_AGRN
snowy_q3_mention:nov_unknown,November Flood Event,provisional_source_mention_not_deduplicated_to_AGRN
snowy_q3_mention:feb2021,February 2021 Storms & Floods,provisional_source_mention_not_deduplicated_to_AGRN
snowy_q3_mention:oct2020,October 2020 Storm Event,provisional_source_mention_not_deduplicated_to_AGRN
event:943,943,reported_AGRN_from_supplied_activation_register_not_asset_exposure
event:960,960,reported_AGRN_from_supplied_activation_register_not_asset_exposure
