project_id,year_start,required_field,status,reason,next_action
richmondvalley:candidate:P001,2021,B0_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
richmondvalley:candidate:P001,2021,Q1_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
richmondvalley:candidate:P001,2021,Q2_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
richmondvalley:candidate:P001,2021,Q3_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
richmondvalley:candidate:P001,2021,ACTUAL_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
richmondvalley:candidate:P001,2021,stable_asset_scope,not_certified_search_incomplete,Current project register lacks dated linked evidence,Recover project or asset records with explicit identifiers and contemporaneous dates
richmondvalley:candidate:P001,2021,damage_access_assessment,not_certified_search_incomplete,Current project register lacks dated linked evidence,Recover project or asset records with explicit identifiers and contemporaneous dates
richmondvalley:candidate:P001,2021,completion_dates,not_certified_search_incomplete,Current project register lacks dated linked evidence,Recover project or asset records with explicit identifiers and contemporaneous dates
richmondvalley:candidate:P001,2021,three_pre_event_budget_years,not_certified_search_incomplete,Current project register lacks dated linked evidence,Recover project or asset records with explicit identifiers and contemporaneous dates
richmondvalley:candidate:P002,2021,B0_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
richmondvalley:candidate:P002,2021,Q1_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
richmondvalley:candidate:P002,2021,Q2_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
richmondvalley:candidate:P002,2021,Q3_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
richmondvalley:candidate:P002,2021,ACTUAL_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
richmondvalley:candidate:P002,2021,stable_asset_scope,not_certified_search_incomplete,Current project register lacks dated linked evidence,Recover project or asset records with explicit identifiers and contemporaneous dates
richmondvalley:candidate:P002,2021,damage_access_assessment,not_certified_search_incomplete,Current project register lacks dated linked evidence,Recover project or asset records with explicit identifiers and contemporaneous dates
richmondvalley:candidate:P002,2021,completion_dates,not_certified_search_incomplete,Current project register lacks dated linked evidence,Recover project or asset records with explicit identifiers and contemporaneous dates
richmondvalley:candidate:P002,2021,three_pre_event_budget_years,not_certified_search_incomplete,Current project register lacks dated linked evidence,Recover project or asset records with explicit identifiers and contemporaneous dates
richmondvalley:candidate:P003,2021,B0_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
richmondvalley:candidate:P003,2021,Q1_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
richmondvalley:candidate:P003,2021,Q2_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
richmondvalley:candidate:P003,2021,Q3_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
richmondvalley:candidate:P003,2021,ACTUAL_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
richmondvalley:candidate:P003,2021,stable_asset_scope,not_certified_search_incomplete,Current project register lacks dated linked evidence,Recover project or asset records with explicit identifiers and contemporaneous dates
richmondvalley:candidate:P003,2021,damage_access_assessment,not_certified_search_incomplete,Current project register lacks dated linked evidence,Recover project or asset records with explicit identifiers and contemporaneous dates
richmondvalley:candidate:P003,2021,completion_dates,not_certified_search_incomplete,Current project register lacks dated linked evidence,Recover project or asset records with explicit identifiers and contemporaneous dates
richmondvalley:candidate:P003,2021,three_pre_event_budget_years,not_certified_search_incomplete,Current project register lacks dated linked evidence,Recover project or asset records with explicit identifiers and contemporaneous dates
richmondvalley:candidate:P004,2021,B0_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
richmondvalley:candidate:P004,2021,Q1_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
richmondvalley:candidate:P004,2021,Q2_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
richmondvalley:candidate:P004,2021,Q3_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
richmondvalley:candidate:P004,2021,ACTUAL_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
richmondvalley:candidate:P004,2021,stable_asset_scope,not_certified_search_incomplete,Current project register lacks dated linked evidence,Recover project or asset records with explicit identifiers and contemporaneous dates
richmondvalley:candidate:P004,2021,damage_access_assessment,not_certified_search_incomplete,Current project register lacks dated linked evidence,Recover project or asset records with explicit identifiers and contemporaneous dates
richmondvalley:candidate:P004,2021,completion_dates,not_certified_search_incomplete,Current project register lacks dated linked evidence,Recover project or asset records with explicit identifiers and contemporaneous dates
richmondvalley:candidate:P004,2021,three_pre_event_budget_years,not_certified_search_incomplete,Current project register lacks dated linked evidence,Recover project or asset records with explicit identifiers and contemporaneous dates
richmondvalley:candidate:P005,2021,B0_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
richmondvalley:candidate:P005,2021,Q1_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
richmondvalley:candidate:P005,2021,Q2_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
richmondvalley:candidate:P005,2021,Q3_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
richmondvalley:candidate:P005,2021,ACTUAL_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
richmondvalley:candidate:P005,2021,stable_asset_scope,not_certified_search_incomplete,Current project register lacks dated linked evidence,Recover project or asset records with explicit identifiers and contemporaneous dates
richmondvalley:candidate:P005,2021,damage_access_assessment,not_certified_search_incomplete,Current project register lacks dated linked evidence,Recover project or asset records with explicit identifiers and contemporaneous dates
richmondvalley:candidate:P005,2021,completion_dates,not_certified_search_incomplete,Current project register lacks dated linked evidence,Recover project or asset records with explicit identifiers and contemporaneous dates
richmondvalley:candidate:P005,2021,three_pre_event_budget_years,not_certified_search_incomplete,Current project register lacks dated linked evidence,Recover project or asset records with explicit identifiers and contemporaneous dates
richmondvalley:candidate:P006,2021,B0_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
richmondvalley:candidate:P006,2021,Q1_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
richmondvalley:candidate:P006,2021,Q2_amount_aud,not_recovered_search_incomplete,Selected revision evidence does not report a same-scope full-year level at this stage,Inspect adopted project schedule and quarterly/year-end project ledger; never infer level from a change alone
