evidence_id,project_id,year_start,source_id,source_page,measure,amount_aud,funding_status,verification,limitation
wagga45049_pending_original_2021,waggawagga:job:45049,2021,wagga_adopted_ltfp_2021_22,66,original_annual_pending_allocation,331341.0,pending_not_confirmed,PDF printed page 66 visually inspected,Not accepted as confirmed funded B0; same job number but scope and adoption date still need checking
wagga45049_july2020_combined_annual_allocation,waggawagga:job:45049,2020,wagga_capital_july2020,8,combined_annual_allocation,384787.0,separate_components_not_original_or_quarter_end,PDF page 8 image verified,July review attachment; adoption and relation to original budget unverified
wagga45049_july2020_confirmed_component,waggawagga:job:45049,2020,wagga_capital_july2020,8,confirmed_component,24940.0,separate_components_not_original_or_quarter_end,PDF page 8 image verified,July review attachment; adoption and relation to original budget unverified
wagga45049_july2020_estimated_prior_year_carryover,waggawagga:job:45049,2020,wagga_capital_july2020,8,estimated_prior_year_carryover,28506.0,separate_components_not_original_or_quarter_end,PDF page 8 image verified,July review attachment; adoption and relation to original budget unverified
wagga45049_july2020_pending_component,waggawagga:job:45049,2020,wagga_capital_july2020,8,pending_component,331341.0,separate_components_not_original_or_quarter_end,PDF page 8 image verified,July review attachment; adoption and relation to original budget unverified
BA_finalbudget_2160,ballina:reference:2160,2020,ballina_capital_june2021,PDF1;printed375,year_end_revised_annual_estimate,440000.0,reported_estimate,page_image_and_complete_block_subtotal_checked,Not Q3; cannot disaggregate cumulative changes by quarter
BA_finalbudget_6532,ballina:reference:6532,2020,ballina_capital_june2021,PDF1;printed375,year_end_revised_annual_estimate,903000.0,reported_estimate,page_image_and_complete_block_subtotal_checked,Not Q3; cannot disaggregate cumulative changes by quarter
BA_finalbudget_4586,ballina:reference:4586,2020,ballina_capital_june2021,PDF1;printed375,year_end_revised_annual_estimate,75000.0,reported_estimate,page_image_and_complete_block_subtotal_checked,Not Q3; cannot disaggregate cumulative changes by quarter
BA_finalbudget_4588,ballina:reference:4588,2020,ballina_capital_june2021,PDF1;printed375,year_end_revised_annual_estimate,20000.0,reported_estimate,page_image_and_complete_block_subtotal_checked,Not Q3; cannot disaggregate cumulative changes by quarter
BA_finalbudget_4589,ballina:reference:4589,2020,ballina_capital_june2021,PDF1;printed375,year_end_revised_annual_estimate,20000.0,reported_estimate,page_image_and_complete_block_subtotal_checked,Not Q3; cannot disaggregate cumulative changes by quarter
