milestone_id,project_id,asof_date,milestone_type,reported_value,date_interpretation,source_id,source_page
BA_completion_2160,ballina:reference:2160,2021-06-30,construction_complete_column,Complete,Target month or status at review; not an exact actual completion date,ballina_capital_june2021,PDF1;printed375
BA_completion_6532,ballina:reference:6532,2021-06-30,construction_complete_column,Dec-21,Target month or status at review; not an exact actual completion date,ballina_capital_june2021,PDF1;printed375
BA_completion_4586,ballina:reference:4586,2021-06-30,construction_complete_column,Oct-21,Target month or status at review; not an exact actual completion date,ballina_capital_june2021,PDF1;printed375
BA_completion_4588,ballina:reference:4588,2021-06-30,construction_complete_column,Complete,Target month or status at review; not an exact actual completion date,ballina_capital_june2021,PDF1;printed375
BA_completion_4589,ballina:reference:4589,2021-06-30,construction_complete_column,Complete,Target month or status at review; not an exact actual completion date,ballina_capital_june2021,PDF1;printed375
BA_completion_4767,ballina:reference:4767,2021-06-30,construction_complete_column,Complete,Target month or status at review; not an exact actual completion date,ballina_capital_june2021,PDF1;printed375
BA_completion_4768,ballina:reference:4768,2021-06-30,construction_complete_column,Complete,Target month or status at review; not an exact actual completion date,ballina_capital_june2021,PDF1;printed375
BA_completion_4769,ballina:reference:4769,2021-06-30,construction_complete_column,Aug-21,Target month or status at review; not an exact actual completion date,ballina_capital_june2021,PDF1;printed375
BA_completion_4770,ballina:reference:4770,2021-06-30,construction_complete_column,Uncertain,Target month or status at review; not an exact actual completion date,ballina_capital_june2021,PDF1;printed375
BA_completion_4771,ballina:reference:4771,2021-06-30,construction_complete_column,Jun-21,Target month or status at review; not an exact actual completion date,ballina_capital_june2021,PDF1;printed375
BA_completion_5488,ballina:reference:5488,2021-06-30,construction_complete_column,On-going,Target month or status at review; not an exact actual completion date,ballina_capital_june2021,PDF1;printed375
BA_completion_6501,ballina:reference:6501,2021-06-30,construction_complete_column,Complete,Target month or status at review; not an exact actual completion date,ballina_capital_june2021,PDF1;printed375
BA_completion_6503,ballina:reference:6503,2021-06-30,construction_complete_column,Aug-21,Target month or status at review; not an exact actual completion date,ballina_capital_june2021,PDF1;printed375
BA_completion_6531,ballina:reference:6531,2021-06-30,construction_complete_column,Sep-21,Target month or status at review; not an exact actual completion date,ballina_capital_june2021,PDF1;printed375
BA_completion_6545,ballina:reference:6545,2021-06-30,construction_complete_column,Aug-21,Target month or status at review; not an exact actual completion date,ballina_capital_june2021,PDF1;printed375
BA_completion_2372,ballina:reference:2372,2021-06-30,construction_complete_column,Dec-21,Target month or status at review; not an exact actual completion date,ballina_capital_june2021,PDF1;printed375
BA_completion_2544,ballina:reference:2544,2021-06-30,construction_complete_column,Complete,Target month or status at review; not an exact actual completion date,ballina_capital_june2021,PDF1;printed375
BA_deferral_Q2_6532,ballina:reference:6532,2021-01-28,approved_partial_budget_deferral,2021/22,Date of resolution approving partial expenditure deferral; not actual completion or first operational delay,ballina_minutes_jan2021,13
BA_deferral_Q2_6531,ballina:reference:6531,2021-01-28,approved_partial_budget_deferral,2021/22,Date of resolution approving partial expenditure deferral; not actual completion or first operational delay,ballina_minutes_jan2021,13
BA_deferral_Q2_2372,ballina:reference:2372,2021-01-28,approved_partial_budget_deferral,2021/22,Date of resolution approving partial expenditure deferral; not actual completion or first operational delay,ballina_minutes_jan2021,13
BA_deferral_Q3_4586,ballina:reference:4586,2021-04-22,approved_partial_budget_deferral,2021/22,Date of resolution approving partial expenditure deferral; not actual completion or first operational delay,ballina_minutes_apr2021,11
BA_deferral_Q3_6531,ballina:reference:6531,2021-04-22,approved_partial_budget_deferral,2021/22,Date of resolution approving partial expenditure deferral; not actual completion or first operational delay,ballina_minutes_apr2021,11
BA2018_2372_complete,ballina:reference:2372,2019-06-30,reported_completion_status,Complete,Status at annual review; exact completion date unknown. Later same-reference spending indicates possible phases or changed scope.,ballina_capital_june2019,PDF1;printed127
BA2017_2160_status,ballina:reference:2160,2018-06-30,reported_progress_status,Awaiting development application determination; future completion target31December2018,Status at annual review; no exact deferral decision or completed date established,ballina_ar2018,PDF173
BA2017_2160_q2_status,ballina:reference:2160,2017-12-31,reported_progress_status,Development application lodged; consultants providing additional information,Status at Q2 review; not a disaster-cause statement or completion date,ballina_2017_q2,PDF1;printed198
BA2017_2160_deferral,ballina:reference:2160,2018-04-26,approved_partial_budget_deferral,450000 transferred to2018/19; planning consent pending,Exact council decision date; not an actual completion date or proof of no disaster exposure,ballina_apr2018_minutes,PDF9;260418/18
