project_id,council_key,official_project_id,analyst_record_id,project_label,unit_status,identifier_status,spending_class,cross_document_link_status,original_completion_date,actual_completion_date,deferral_decision_date,rephased_to_fy,completion_status,fixed_pre_event_portfolio_verified,source_id,source_page
richmondvalley:candidate:P001,richmondvalley,,P001,Casino Swimming Pool upgrade,project_or_program_scope_requires_verification,not_available_analyst_record_only,ordinary_candidate,name_only_unverified,,,,2022-23,unknown,0,richmond_q3,11
richmondvalley:candidate:P002,richmondvalley,,P002,Casino Lawn Cemetery concrete strips,project_or_program_scope_requires_verification,not_available_analyst_record_only,ordinary_candidate,name_only_unverified,,,,,unknown,0,richmond_q3,11
richmondvalley:candidate:P003,richmondvalley,,P003,Coraki Riverside Pontoon Extension,project_or_program_scope_requires_verification,not_available_analyst_record_only,ordinary_candidate,name_only_unverified,,,,2022-23,unknown,0,richmond_q3,12
richmondvalley:candidate:P004,richmondvalley,,P004,Woodburn Riverside Park Jetty Upgrade,project_or_program_scope_requires_verification,not_available_analyst_record_only,ordinary_candidate,name_only_unverified,,,,2022-23,unknown,0,richmond_q3,12
richmondvalley:candidate:P005,richmondvalley,,P005,Casino Showground Planning and Design,project_or_program_scope_requires_verification,not_available_analyst_record_only,ordinary_candidate,name_only_unverified,,,,2022-23,unknown,0,richmond_q3,12
richmondvalley:candidate:P006,richmondvalley,,P006,Country Lane rehabilitation,project_or_program_scope_requires_verification,not_available_analyst_record_only,ordinary_candidate,name_only_unverified,,,,2022-23,unknown,0,richmond_q3,13
richmondvalley:candidate:P007,richmondvalley,,P007,Richmond Terrace rehabilitation,project_or_program_scope_requires_verification,not_available_analyst_record_only,ordinary_candidate,name_only_unverified,,,,2022-23,unknown,0,richmond_q3,13
richmondvalley:candidate:P008,richmondvalley,,P008,Naughtons Gap Road Fixing Local Roads,project_or_program_scope_requires_verification,not_available_analyst_record_only,direct_damage_or_reconstruction,same_road_different_work_scopes_requires_chainage_contract_match,,,,2022-23,unknown,0,richmond_q3,13
richmondvalley:candidate:P009,richmondvalley,,P009,AGRN960 Essential Public Asset Restoration,project_or_program_scope_requires_verification,not_available_analyst_record_only,disaster_reconstruction,name_only_unverified,,,,2022-23,unknown,0,richmond_q3,13
richmondvalley:candidate:P010,richmondvalley,,P010,Cell 6 approval and construction,project_or_program_scope_requires_verification,not_available_analyst_record_only,ordinary_candidate,name_only_unverified,,,,2022-23,unknown,0,richmond_q3,14
richmondvalley:candidate:P011,richmondvalley,,P011,Stormwater remaining capital program,project_or_program_scope_requires_verification,not_available_analyst_record_only,ordinary_candidate,name_only_unverified,,,,2022-23,unknown,0,richmond_q3,14
richmondvalley:candidate:P012,richmondvalley,,P012,Sewer capital projects bundle,project_or_program_scope_requires_verification,not_available_analyst_record_only,damage_assessment_pending,name_only_unverified,,,,,unknown,0,richmond_q3,15
richmondvalley:candidate:P013,richmondvalley,,P013,Casino depot pavement rehabilitation and sealing,project_or_program_scope_requires_verification,not_available_analyst_record_only,ordinary_candidate,name_only_unverified,,,,2022-23,unknown,0,richmond_q3,15
richmondvalley:candidate:P014,richmondvalley,,P014,Colches St Lennox to Stapleton and Hare mains,project_or_program_scope_requires_verification,not_available_analyst_record_only,ordinary_candidate,name_only_unverified,,,,,completed_reported_Q3,0,richmond_q3,14
richmondvalley:candidate:P015,richmondvalley,,P015,Colches St North Waratah to Sandiland mains,project_or_program_scope_requires_verification,not_available_analyst_record_only,ordinary_candidate,name_only_unverified,,,,,completed_reported_Q3,0,richmond_q3,14
lismore:candidate:P016,lismore,,P016,Lismore Employment Lands Project,project_or_program_scope_requires_verification,not_available_analyst_record_only,ordinary_candidate,name_only_unverified,,,,,unknown,0,lismore_oc_10052022_att_excluded_direct,165
