council_key,applicant,published_rows,distinct_asset_labels,streams
QLD_aurukun,Aurukun Shire Council,1,1,E
QLD_balonne,Balonne Shire Council,4,3,D
QLD_banana,Banana Shire Council,2,2,D
QLD_barcoo,Barcoo Shire Council,1,1,E
QLD_blackall_tambo,Blackall-Tambo Regional Council,3,3,E
QLD_brisbane,Brisbane City Council,2,2,D
QLD_carpentaria,Carpentaria Shire Council,1,1,D
QLD_central_highlands,Central Highlands Regional Council,4,4,D
QLD_cloncurry,Cloncurry Shire Council,1,1,E
QLD_croydon,Croydon Shire Council,1,1,E
QLD_flinders,Flinders Shire Council,1,1,E
QLD_fraser_coast,Fraser Coast Regional Council,3,3,D
QLD_gladstone,Gladstone Regional Council,11,11,D
QLD_gold_coast,City of Gold Coast,2,2,D
QLD_goondiwindi,Goondiwindi Regional Council,3,3,D
QLD_gympie,Gympie Regional Council,11,11,D
QLD_ipswich,Ipswich City Council,2,2,D
QLD_kowanyama,Kowanyama Aboriginal Shire Council,1,1,D
QLD_lockyer_valley,Lockyer Valley Regional Council,13,13,D
QLD_logan,Logan City Council,4,4,D
QLD_maranoa,Maranoa Regional Council,2,2,D
QLD_mareeba,Mareeba Shire Council,19,19,E
QLD_moreton_bay,Moreton Bay Regional Council,5,5,D
QLD_murweh,Murweh Shire Council,1,1,D
QLD_noosa,Noosa Shire Council,2,2,D
QLD_north_burnett,North Burnett Regional Council,1,1,D
QLD_northern_peninsula_area,Northern Peninsula Area Regional Council,1,1,E
QLD_palm_island,Palm Island Aboriginal Shire Council,5,5,E
QLD_paroo,Paroo Shire Council,2,2,E
QLD_quilpie,Quilpie Shire Council,1,1,E
QLD_richmond,Richmond Shire Council,1,1,E
QLD_scenic_rim,Scenic Rim Regional Council,11,11,D
QLD_somerset,Somerset Regional Council,2,2,D
QLD_south_burnett,South Burnett Regional Council,32,31,D
QLD_southern_downs,Southern Downs Regional Council,21,21,D
QLD_toowoomba,Toowoomba Regional Council,11,11,D
QLD_torres_strait_island,Torres Strait Island Regional Council,1,1,E
QLD_western_downs,Western Downs Regional Council,5,5,D
