evidence_id,applicant,project_or_submission,reported_status,eligibility_status,round_scope,source_id,source_locator,evidence_date,submission_date,decision_date,amount_requested_aud,amount_approved_aud,other_amount_aud,amount_basis,event,application_id,project_id,unit_resolution,confidence,usable_eligible_negative,interpretation,source_url,council_key
B01,Boulia Shire Council,April 2022 Betterment submission — sites not named,INELIGIBLE,EXPLICIT_INELIGIBLE,"2021–22 event; consistent with Category E scope, administrative round ID absent",boulia_june2023,PDF/printed p23; summary dated 15 June 2023,2023-06-15,,,,,1810518.53,Associated REPA submitted value incl PM/escalation/contingency; NOT Betterment requested amount,"Northern and Central Western Queensland Rainfall and Flooding, 21 April – 12 May 2022",,,UNRESOLVED,HIGH for quoted status; eligibility/round only as separately stated,False,Restoration for the January event was already completed on April Betterment sites. REPA approval is separate. Do not import the REPA amount as Betterment request.,https://www.boulia.qld.gov.au/files/assets/public/v/1/council/council-meetings/agendas/2023/june-2023-ordinary-council-meeting-agenda.pdf,QLD_boulia
B02,Boulia Shire Council,January 2022 Betterment submission — sites not named,UNRESOLVED_LODGED,UNKNOWN,"2021–22 event; consistent with Category E scope, administrative round ID absent",boulia_june2023,PDF/printed p23; summary dated 15 June 2023,2023-06-15,,,,,,,"Western Queensland Low Pressure Trough, 19 January – 4 February 2022",,,UNRESOLVED,HIGH for quoted status; eligibility/round only as separately stated,False,Betterment remains described as lodged; adjacent REPA approval/acquittal does not prove Betterment approval.,https://www.boulia.qld.gov.au/files/assets/public/v/1/council/council-meetings/agendas/2023/june-2023-ordinary-council-meeting-agenda.pdf,QLD_boulia
B03,Boulia Shire Council,April 2022 Betterment submission — sites not named,UNRESOLVED_LODGED,UNKNOWN,2021–22 event; earlier observation of B01,boulia_nov2022,PDF/printed p22; summary dated 7 October 2022,2022-10-07,,,,,,,,,,UNRESOLVED,HIGH for quoted status; eligibility/round only as separately stated,False,"Earlier stage of B01, not a second application. Submission lodged by this date; exact date unknown.",https://www.boulia.qld.gov.au/files/assets/public/v/1/council/council-meetings/documents/november-2022-ordinary-meeting-of-council.pdf,QLD_boulia
B04,Boulia Shire Council,April 2022 Betterment submission — sites not named,INELIGIBLE,EXPLICIT_INELIGIBLE,2021–22 event; repeat observation of B01,boulia_feb2024,PDF/printed p30; summary dated 13 February 2024,2024-02-13,,,,,,,,,,UNRESOLVED,HIGH for quoted status; eligibility/round only as separately stated,False,"Repeated ineligibility notice, not another application.",https://www.boulia.qld.gov.au/files/assets/public/v/1/council/council-meetings/agendas/february-2024-ordinary-council-meeting-agenda.pdf,QLD_boulia
D01,Department of Transport and Main Roads,Farrars Creek Betterment,UNSUCCESSFUL_REPORTED,UNKNOWN,FUNDING_ROUND_UNVERIFIED; state-agency applicant outside local-government study,diamantina2024,"PDF p39 / printed p38, Future Unfunded Works",2024-09-16,,,,,2665867.0,Project estimate; request/approval amount unverified,,,,UNRESOLVED,HIGH for quoted status; eligibility/round only as separately stated,False,Council document explicitly names TMR as applicant. Project estimate is not verified grant request. Cannot use as local-government eligible negative.,https://www.diamantina.qld.gov.au/files/assets/public/v/1/council/council-meetings/agendas-and-minutes/documents/2024-agenda-and-minutes/agenda_ordinary_council_meeting_monday_16_september_2024.pdf,
D02,Department of Transport and Main Roads,Diamantina Channels – Birdsville Culvert Upgrade Betterment,UNSUCCESSFUL_REPORTED,UNKNOWN,FUNDING_ROUND_UNVERIFIED; state-agency applicant outside local-government study,diamantina2024,"PDF p39 / printed p38, Future Unfunded Works",2024-09-16,,,,,1834775.9,Project estimate; request/approval amount unverified,,,,UNRESOLVED,HIGH for quoted status; eligibility/round only as separately stated,False,Council document explicitly names TMR as applicant. Project estimate is not verified grant request. Cannot use as local-government eligible negative.,https://www.diamantina.qld.gov.au/files/assets/public/v/1/council/council-meetings/agendas-and-minutes/documents/2024-agenda-and-minutes/agenda_ordinary_council_meeting_monday_16_september_2024.pdf,
I01,Ipswich City Council,REPA Submission Betterment Kerb & Channel,UNRESOLVED_LODGED,UNKNOWN,2022 flood recovery context; Betterment round/stream not explicitly identified,ipswich2023,"25 May 2023 agenda, CEO Organisational Performance Report April 2023, External Funding / REPA table",2023-04-30,,,988292.95,,,Requested REPA submission amount as labelled; Betterment component not separated,"February and May 2022 floods, attribution to particular event unresolved",,,UNRESOLVED,HIGH for quoted status; eligibility/round only as separately stated,False,"Lodged at reporting cutoff; blank approved amount is unknown, not zero. Could be a bundled submission or overlap with published assets; no automatic match.",https://ipswich.infocouncil.biz/Open/2023/05/CO_20230525_AGN_3342_AT.HTM,QLD_ipswich
M01,Mareeba Shire Council,Clohesy River Barron St Inspect & Design,REJECTED_REINSTATEMENT,UNKNOWN,BETTERMENT_2022_MEMBERSHIP_UNVERIFIED,mareeba2022,"PDF p8, Capital Works Summary September 2022, bridge program row",2022-09-30,,,,,,,,,,UNRESOLVED,HIGH for quoted status; eligibility/round only as separately stated,False,Reinstatement rejected and scope to be redefined; the row does not identify 2022 Betterment. Exclude from control group.,https://websync.msc.qld.gov.au/infrastructure_progress_reports/files/24/Infrastructure%20Services%20Progress%20Reports%20-%20September%202022.pdf,QLD_mareeba
S01,Somerset Regional Council,Kimbala Road,UNSUCCESSFUL_REPORTED,UNKNOWN,EXCLUDED_2015_CYCLONE_MARCIA_ROUND,somerset_old,"PDF/printed p103, 14 September 2016 minutes",2016-09-14,,,41463.0,,,"Historical Betterment works total in minutes, out of scope",2015 Cyclone Marcia,,,UNRESOLVED,HIGH for quoted status; eligibility/round only as separately stated,False,"Explicit unsuccessful Betterment example, wrong funding round. Do not pool with 2022.",https://www.somerset.qld.gov.au/files/assets/public/v/1/your-council/documents/minutes/2016/2016_09_14-ordinary-minutespdf.pdf,QLD_somerset
S02,Scenic Rim Regional Council,Unnamed Betterment applications still under assessment,UNRESOLVED_UNDER_ASSESSMENT,UNKNOWN,Four recovery events incl March 2021 and 2021–22; cannot disaggregate,scenic_pending,"PDF/printed p6, Road Maintenance and Corridor Management",2023-09-30,,,,,,,,,,AGGREGATE_ONLY,HIGH for quoted status; eligibility/round only as separately stated,False,"Council-level program narrative, not an application row. No project count or outcome inferred.",https://www.scenicrim.qld.gov.au/files/assets/public/v/1/our-council/administration/corporate-publications/documents/service_delivery_2023_24_q1_report___v03.pdf,QLD_scenic_rim
