public_record_id,funding_round,funding_stream,applicant,council_key,applicant_type,project_asset_label,application_id,project_id,source_id,source_url,source_locator,source_version_date,status,eligibility_status,label_confidence,submission_date,decision_date,amount_requested_aud,amount_approved_aud,event,asset_type,assessment_score,recommendation,bcr,quality_note,repeated_label,same_label_row_count,supplemental_source_ids
QRA2022_T1_R001,2022 / 2021–22 event season,D,Balonne Shire Council,QLD_balonne,LOCAL_GOVERNMENT,Mungindi Levee,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 1",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R002,2022 / 2021–22 event season,D,Balonne Shire Council,QLD_balonne,LOCAL_GOVERNMENT,Whyenbah Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 2",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R003,2022 / 2021–22 event season,D,Balonne Shire Council,QLD_balonne,LOCAL_GOVERNMENT,Jakelwar-Goodooga Road North,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 3",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,True,2,
QRA2022_T1_R004,2022 / 2021–22 event season,D,Balonne Shire Council,QLD_balonne,LOCAL_GOVERNMENT,Jakelwar-Goodooga Road North,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 4",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,True,2,
QRA2022_T1_R005,2022 / 2021–22 event season,D,Banana Shire Council,QLD_banana,LOCAL_GOVERNMENT,Defence Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 5",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R006,2022 / 2021–22 event season,D,Banana Shire Council,QLD_banana,LOCAL_GOVERNMENT,Coolum Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 6",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R007,2022 / 2021–22 event season,D,Brisbane City Council,QLD_brisbane,LOCAL_GOVERNMENT,Hawera Ct Bridge,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 7",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R008,2022 / 2021–22 event season,D,Brisbane City Council,QLD_brisbane,LOCAL_GOVERNMENT,Kooringal Dr Bridge,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 8",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R009,2022 / 2021–22 event season,D,Central Highlands Regional Council,QLD_central_highlands,LOCAL_GOVERNMENT,Mt Playfair Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 9",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
QRA2022_T1_R010,2022 / 2021–22 event season,D,Central Highlands Regional Council,QLD_central_highlands,LOCAL_GOVERNMENT,Withersfield Willows Road,,,qra2022,https://www.qra.qld.gov.au/betterment/2022,"Successful projects; Category D table, data row 10",2024-07-24,APPROVED_REPORTED,ACCEPTED_UNDER_PROGRAM_BY_OFFICIAL_AWARD_LIST; individual assessment file unavailable,HIGH for public award; project identity/eligibility details unresolved,,,,,,UNVERIFIED: retain original project/asset label,,,,Published asset/works row; not certified one application or one unique project,False,1,
