council_name,grant_share_5yr_pct,operating_surplus_pct,net_financial_liabilities_pct,printed_page,source_id,pdf_page,period_end,publication_date,confidence,quality_note,grant_period_note
Aurukun Shire Council,65,-23,-80,56,qao_appendixI,5,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Balonne Shire Council,51,-8.10,-43.83,59,qao_appendixI,8,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Banana Shire Council,32,-9.24,-16.22,57,qao_appendixI,6,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Barcoo Shire Council,52,-27.33,-22.88,59,qao_appendixI,8,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Blackall-Tambo Regional Council,43,0,-45,59,qao_appendixI,8,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Boulia Shire Council,68,-64.23,-135.46,59,qao_appendixI,8,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Brisbane City Council,12,1,202,60,qao_appendixI,9,2021-06-30,2022-05-11,HIGH: manually read rendered table,"2020–21 ratios; AASB1059 concession liabilities affect comparability; QAO gives 127% excluding new standard, do not silently replace 202%","Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Carpentaria Shire Council,70,-3.80,-22.19,59,qao_appendixI,8,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
Central Highlands Regional Council,23,-2.53,-9.22,57,qao_appendixI,6,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
City of Gold Coast,22,-2.10,-14.50,60,qao_appendixI,9,2021-06-30,2022-05-11,HIGH: manually read rendered table,2020–21 ratios; source label Council of the City of Gold Coast; exact documented alias,"Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation."
