council_key,council_name,feature,value,unit,measurement_date,publication_date,audit_date,source_id,source_url,source_locator,scope,quality_note,timing_status,confidence
QLD_aurukun,Aurukun Shire Council,grant_share_5yr_pct,65.0,percent,2021-06-30,2022-05-11,,qao_appendixI,https://www.qao.qld.gov.au/sites/default/files/2022-05/Local%20government%202021%20%28Report%2015%E2%80%932021%E2%80%9322%29%20%E2%80%93%20Appendix%20I.pdf,Figure I4; printed p56 / PDF p5,council; QAO-published ratio,"2020–21 ratios; Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation.",PRE_2021_22_DISASTER_MEASUREMENT; application-specific publication cutoff still required,HIGH: manually read rendered table
QLD_aurukun,Aurukun Shire Council,operating_surplus_pct,-23.0,percent,2021-06-30,2022-05-11,,qao_appendixI,https://www.qao.qld.gov.au/sites/default/files/2022-05/Local%20government%202021%20%28Report%2015%E2%80%932021%E2%80%9322%29%20%E2%80%93%20Appendix%20I.pdf,Figure I4; printed p56 / PDF p5,council; QAO-published ratio,2020–21 ratios,PRE_2021_22_DISASTER_MEASUREMENT; application-specific publication cutoff still required,HIGH: manually read rendered table
QLD_aurukun,Aurukun Shire Council,net_financial_liabilities_pct,-80.0,percent,2021-06-30,2022-05-11,,qao_appendixI,https://www.qao.qld.gov.au/sites/default/files/2022-05/Local%20government%202021%20%28Report%2015%E2%80%932021%E2%80%9322%29%20%E2%80%93%20Appendix%20I.pdf,Figure I4; printed p56 / PDF p5,council; QAO-published ratio,2020–21 ratios,PRE_2021_22_DISASTER_MEASUREMENT; application-specific publication cutoff still required,HIGH: manually read rendered table
QLD_balonne,Balonne Shire Council,grant_share_5yr_pct,51.0,percent,2021-06-30,2022-05-11,,qao_appendixI,https://www.qao.qld.gov.au/sites/default/files/2022-05/Local%20government%202021%20%28Report%2015%E2%80%932021%E2%80%9322%29%20%E2%80%93%20Appendix%20I.pdf,Figure I4; printed p59 / PDF p8,council; QAO-published ratio,"2020–21 ratios; Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation.",PRE_2021_22_DISASTER_MEASUREMENT; application-specific publication cutoff still required,HIGH: manually read rendered table
QLD_balonne,Balonne Shire Council,operating_surplus_pct,-8.1,percent,2021-06-30,2022-05-11,,qao_appendixI,https://www.qao.qld.gov.au/sites/default/files/2022-05/Local%20government%202021%20%28Report%2015%E2%80%932021%E2%80%9322%29%20%E2%80%93%20Appendix%20I.pdf,Figure I4; printed p59 / PDF p8,council; QAO-published ratio,2020–21 ratios,PRE_2021_22_DISASTER_MEASUREMENT; application-specific publication cutoff still required,HIGH: manually read rendered table
QLD_balonne,Balonne Shire Council,net_financial_liabilities_pct,-43.83,percent,2021-06-30,2022-05-11,,qao_appendixI,https://www.qao.qld.gov.au/sites/default/files/2022-05/Local%20government%202021%20%28Report%2015%E2%80%932021%E2%80%9322%29%20%E2%80%93%20Appendix%20I.pdf,Figure I4; printed p59 / PDF p8,council; QAO-published ratio,2020–21 ratios,PRE_2021_22_DISASTER_MEASUREMENT; application-specific publication cutoff still required,HIGH: manually read rendered table
QLD_banana,Banana Shire Council,grant_share_5yr_pct,32.0,percent,2021-06-30,2022-05-11,,qao_appendixI,https://www.qao.qld.gov.au/sites/default/files/2022-05/Local%20government%202021%20%28Report%2015%E2%80%932021%E2%80%9322%29%20%E2%80%93%20Appendix%20I.pdf,Figure I4; printed p57 / PDF p6,council; QAO-published ratio,"2020–21 ratios; Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation.",PRE_2021_22_DISASTER_MEASUREMENT; application-specific publication cutoff still required,HIGH: manually read rendered table
QLD_banana,Banana Shire Council,operating_surplus_pct,-9.24,percent,2021-06-30,2022-05-11,,qao_appendixI,https://www.qao.qld.gov.au/sites/default/files/2022-05/Local%20government%202021%20%28Report%2015%E2%80%932021%E2%80%9322%29%20%E2%80%93%20Appendix%20I.pdf,Figure I4; printed p57 / PDF p6,council; QAO-published ratio,2020–21 ratios,PRE_2021_22_DISASTER_MEASUREMENT; application-specific publication cutoff still required,HIGH: manually read rendered table
QLD_banana,Banana Shire Council,net_financial_liabilities_pct,-16.22,percent,2021-06-30,2022-05-11,,qao_appendixI,https://www.qao.qld.gov.au/sites/default/files/2022-05/Local%20government%202021%20%28Report%2015%E2%80%932021%E2%80%9322%29%20%E2%80%93%20Appendix%20I.pdf,Figure I4; printed p57 / PDF p6,council; QAO-published ratio,2020–21 ratios,PRE_2021_22_DISASTER_MEASUREMENT; application-specific publication cutoff still required,HIGH: manually read rendered table
QLD_barcoo,Barcoo Shire Council,grant_share_5yr_pct,52.0,percent,2021-06-30,2022-05-11,,qao_appendixI,https://www.qao.qld.gov.au/sites/default/files/2022-05/Local%20government%202021%20%28Report%2015%E2%80%932021%E2%80%9322%29%20%E2%80%93%20Appendix%20I.pdf,Figure I4; printed p59 / PDF p8,council; QAO-published ratio,"2020–21 ratios; Five-year average share of total revenue, not current operating-grant share. For older-audit councils exact averaging window requires confirmation.",PRE_2021_22_DISASTER_MEASUREMENT; application-specific publication cutoff still required,HIGH: manually read rendered table
