public_record_id,council_key,applicant,project_asset_label,submission_date,decision_date,period_end,publication_date,quality_note,capacity_measurement_before_known_submission,capacity_publication_before_known_submission,timing_verdict
QRA2022_T1_R001,QLD_balonne,Balonne Shire Council,Mungindi Levee,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R002,QLD_balonne,Balonne Shire Council,Whyenbah Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R003,QLD_balonne,Balonne Shire Council,Jakelwar-Goodooga Road North,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R004,QLD_balonne,Balonne Shire Council,Jakelwar-Goodooga Road North,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R005,QLD_banana,Banana Shire Council,Defence Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R006,QLD_banana,Banana Shire Council,Coolum Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R007,QLD_brisbane,Brisbane City Council,Hawera Ct Bridge,,,2021-06-30,2022-05-11,"2020–21 ratios; AASB1059 concession liabilities affect comparability; QAO gives 127% excluding new standard, do not silently replace 202%",,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R008,QLD_brisbane,Brisbane City Council,Kooringal Dr Bridge,,,2021-06-30,2022-05-11,"2020–21 ratios; AASB1059 concession liabilities affect comparability; QAO gives 127% excluding new standard, do not silently replace 202%",,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R009,QLD_central_highlands,Central Highlands Regional Council,Mt Playfair Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R010,QLD_central_highlands,Central Highlands Regional Council,Withersfield Willows Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R011,QLD_central_highlands,Central Highlands Regional Council,Wyntoon Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R012,QLD_central_highlands,Central Highlands Regional Council,Wyuna Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R013,QLD_carpentaria,Carpentaria Shire Council,Dunbar - Kowanyama Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R041,QLD_fraser_coast,Fraser Coast Regional Council,Teebar Hall Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R042,QLD_fraser_coast,Fraser Coast Regional Council,Gigoomgan Road,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R043,QLD_fraser_coast,Fraser Coast Regional Council,Adelaide Street,,,2021-06-30,2022-05-11,2020–21 ratios,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R044,QLD_gold_coast,City of Gold Coast,Gold Coast Springbrook Road,,,2021-06-30,2022-05-11,2020–21 ratios; source label Council of the City of Gold Coast; exact documented alias,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
QRA2022_T1_R045,QLD_gold_coast,City of Gold Coast,"Smithroad,Bonogin Road",,,2021-06-30,2022-05-11,2020–21 ratios; source label Council of the City of Gold Coast; exact documented alias,,,APPLICATION/DECISION DATE UNKNOWN; no strict as-of join certified
