agrn,state,event_name,n_lga_rows,positive_rows,zero_rows,positive_proportion,pattern,category
776,New South Wales,NSW - Tenterfield Bushfires (commencing 8 September 2017),1,0,1,0.0,no-C,C
792,New South Wales,NSW - Singleton Bushfire (18 December 2017),1,0,1,0.0,no-C,C
791,New South Wales,NSW - Tamworth Bushfire (25 December 2017 onwards),1,0,1,0.0,no-C,C
789,New South Wales,"NSW - Tamworth, Uralla and Gwydir Bushfires (2 January 2018)",3,0,3,0.0,no-C,C
795,New South Wales,NSW - Port Stephens bushfire (8 January 2018),1,0,1,0.0,no-C,C
803,New South Wales,"NSW - Singleton, Cessnock and Muswellbrook Bushfires (13 January 2018 onwards)",3,0,3,0.0,no-C,C
806,New South Wales,NSW - Upper Lachlan (Long Gully) Bushfire (19 January 2018 onwards),1,0,1,0.0,no-C,C
805,New South Wales,NSW - Sutherland (Royal National Park) Bushfire (20 January 2018 onwards),1,0,1,0.0,no-C,C
814,New South Wales,NSW - Upper Hunter Bushfires (23 January 2018 onwards),1,0,1,0.0,no-C,C
793,Western Australia,WA - Tropical Cyclone Kelvin and Associated Flooding (17 - 19 February 2018),4,0,4,0.0,no-C,C
818,New South Wales,NSW - Shoalhaven bushfires (11 August 2018 onwards),1,0,1,0.0,no-C,C
823,New South Wales,"NSW - Richmond Valley, Lismore and Kyogle bushfires (12 August 2018 onwards)",3,0,3,0.0,no-C,C
841,New South Wales,NSW - Tamworth (Rockview) Bushfire (30 October 2018 onwards),1,0,1,0.0,no-C,C
842,New South Wales,NSW - Port Stephens and Cessnock Bushfires (22 November 2018),2,0,2,0.0,no-C,C
855,New South Wales,NSW - Tamworth (Halls Creek Road) Bushfires(3 January 2019 onwards),1,0,1,0.0,no-C,C
853,New South Wales,NSW - Parkes and Cabonne (Curembenya) Bushfires(5 January 2019 onwards),2,0,2,0.0,no-C,C
856,New South Wales,NSW - Parkes and Greater Hume Storms(22-23 January 2019),2,0,2,0.0,no-C,C
862,New South Wales,NSW - Tamworth Regional and Upper Hunter Bushfires (11 February 2019 onwards),2,0,2,0.0,no-C,C
867,New South Wales,NSW - Singleton and Muswellbrook Bushfires (11 February 2019 onwards),2,0,2,0.0,no-C,C
864,New South Wales,NSW - Tenterfield Bushfires (9 March 2019 onwards),1,0,1,0.0,no-C,C
881,New South Wales,Sydney and Southern Highlands Storms (5 September 2019 onwards),6,0,6,0.0,no-C,C
916,New South Wales,NSW - Western NSW Floods (26 February 2020 onwards),3,0,3,0.0,no-C,C
