agrn,Location_code,Location_Name,STATE,council_key,join_rule,boundary_vintage_verified
960,10180,Armidale,New South Wales,,unmatched; outside frozen 103 councils,False
1012,10180,Armidale,New South Wales,,unmatched; outside frozen 103 councils,False
1198,10180,Armidale,New South Wales,,unmatched; outside frozen 103 councils,False
1212,10180,Armidale,New South Wales,,unmatched; outside frozen 103 councils,False
960,10250,Ballina,New South Wales,ballina,exact normalized name/key; NSW only,False
1012,10250,Ballina,New South Wales,ballina,exact normalized name/key; NSW only,False
1198,10250,Ballina,New South Wales,ballina,exact normalized name/key; NSW only,False
960,10470,Bathurst,New South Wales,bathurst,exact normalized name/key; NSW only,False
1012,10500,Bayside (NSW),New South Wales,,unmatched; outside frozen 103 councils,False
960,10550,Bega Valley,New South Wales,begavalley,exact normalized name/key; NSW only,False
1012,10550,Bega Valley,New South Wales,begavalley,exact normalized name/key; NSW only,False
1212,10550,Bega Valley,New South Wales,begavalley,exact normalized name/key; NSW only,False
960,10600,Bellingen,New South Wales,bellingen,exact normalized name/key; NSW only,False
1012,10600,Bellingen,New South Wales,bellingen,exact normalized name/key; NSW only,False
1198,10600,Bellingen,New South Wales,bellingen,exact normalized name/key; NSW only,False
1212,10600,Bellingen,New South Wales,bellingen,exact normalized name/key; NSW only,False
960,10750,Blacktown,New South Wales,blacktown,exact normalized name/key; NSW only,False
1012,10750,Blacktown,New South Wales,blacktown,exact normalized name/key; NSW only,False
960,10900,Blue Mountains,New South Wales,bluemountains,exact normalized name/key; NSW only,False
1012,10900,Blue Mountains,New South Wales,bluemountains,exact normalized name/key; NSW only,False
960,10950,Bogan,New South Wales,bogan,exact normalized name/key; NSW only,False
960,11200,Brewarrina,New South Wales,brewarrina,exact normalized name/key; NSW only,False
960,11350,Byron,New South Wales,byron,exact normalized name/key; NSW only,False
1012,11350,Byron,New South Wales,byron,exact normalized name/key; NSW only,False
1198,11350,Byron,New South Wales,byron,exact normalized name/key; NSW only,False
960,11400,Cabonne,New South Wales,cabonne,exact normalized name/key; NSW only,False
960,11450,Camden,New South Wales,camden,exact normalized name/key; NSW only,False
1012,11450,Camden,New South Wales,camden,exact normalized name/key; NSW only,False
1212,11450,Camden,New South Wales,camden,exact normalized name/key; NSW only,False
960,11500,Campbelltown (NSW),New South Wales,campbelltown,exact normalized name/key; NSW only,False
1012,11500,Campbelltown (NSW),New South Wales,campbelltown,exact normalized name/key; NSW only,False
960,11570,Canterbury-Bankstown,New South Wales,,unmatched; outside frozen 103 councils,False
1012,11570,Canterbury-Bankstown,New South Wales,,unmatched; outside frozen 103 councils,False
960,11650,Central Coast (NSW),New South Wales,,unmatched; outside frozen 103 councils,False
1012,11650,Central Coast (NSW),New South Wales,,unmatched; outside frozen 103 councils,False
1212,11650,Central Coast (NSW),New South Wales,,unmatched; outside frozen 103 councils,False
960,11700,Central Darling,New South Wales,centraldarling,exact normalized name/key; NSW only,False
960,11720,Cessnock,New South Wales,cessnock,exact normalized name/key; NSW only,False
1012,11720,Cessnock,New South Wales,cessnock,exact normalized name/key; NSW only,False
1212,11720,Cessnock,New South Wales,cessnock,exact normalized name/key; NSW only,False
954,11730,Clarence Valley,New South Wales,clarencevalley,exact normalized name/key; NSW only,False
960,11730,Clarence Valley,New South Wales,clarencevalley,exact normalized name/key; NSW only,False
1012,11730,Clarence Valley,New South Wales,clarencevalley,exact normalized name/key; NSW only,False
1198,11730,Clarence Valley,New South Wales,clarencevalley,exact normalized name/key; NSW only,False
1212,11730,Clarence Valley,New South Wales,clarencevalley,exact normalized name/key; NSW only,False
960,11750,Cobar,New South Wales,,unmatched; outside frozen 103 councils,False
954,11800,Coffs Harbour,New South Wales,coffsharbour,exact normalized name/key; NSW only,False
960,11800,Coffs Harbour,New South Wales,coffsharbour,exact normalized name/key; NSW only,False
1012,11800,Coffs Harbour,New South Wales,coffsharbour,exact normalized name/key; NSW only,False
1198,11800,Coffs Harbour,New South Wales,coffsharbour,exact normalized name/key; NSW only,False
1212,11800,Coffs Harbour,New South Wales,coffsharbour,exact normalized name/key; NSW only,False
960,12150,Coonamble,New South Wales,coonamble,exact normalized name/key; NSW only,False
960,12380,Cumberland,New South Wales,,unmatched; outside frozen 103 councils,False
1012,12380,Cumberland,New South Wales,,unmatched; outside frozen 103 councils,False
960,12700,Dungog,New South Wales,dungog,exact normalized name/key; NSW only,False
1012,12700,Dungog,New South Wales,dungog,exact normalized name/key; NSW only,False
1198,12700,Dungog,New South Wales,dungog,exact normalized name/key; NSW only,False
1212,12700,Dungog,New South Wales,dungog,exact normalized name/key; NSW only,False
960,12750,Eurobodalla,New South Wales,eurobodalla,exact normalized name/key; NSW only,False
1012,12750,Eurobodalla,New South Wales,eurobodalla,exact normalized name/key; NSW only,False
960,12850,Fairfield,New South Wales,fairfield,exact normalized name/key; NSW only,False
1012,12850,Fairfield,New South Wales,fairfield,exact normalized name/key; NSW only,False
960,12930,Georges River,New South Wales,,unmatched; outside frozen 103 councils,False
1012,12930,Georges River,New South Wales,,unmatched; outside frozen 103 councils,False
960,12950,Gilgandra,New South Wales,gilgandra,exact normalized name/key; NSW only,False
960,13010,Glen Innes Severn,New South Wales,gleninnessevern,exact normalized name/key; NSW only,False
1012,13010,Glen Innes Severn,New South Wales,gleninnessevern,exact normalized name/key; NSW only,False
1198,13010,Glen Innes Severn,New South Wales,gleninnessevern,exact normalized name/key; NSW only,False
960,13310,Goulburn Mulwaree,New South Wales,goulburnmulwaree,exact normalized name/key; NSW only,False
1012,13310,Goulburn Mulwaree,New South Wales,goulburnmulwaree,exact normalized name/key; NSW only,False
960,13340,Greater Hume,New South Wales,greaterhume,exact normalized name/key; NSW only,False
960,13550,Gunnedah,New South Wales,gunnedah,exact normalized name/key; NSW only,False
960,13660,Gwydir,New South Wales,gwydir,exact normalized name/key; NSW only,False
960,13800,Hawkesbury,New South Wales,hawkesbury,exact normalized name/key; NSW only,False
1012,13800,Hawkesbury,New South Wales,hawkesbury,exact normalized name/key; NSW only,False
1212,13800,Hawkesbury,New South Wales,hawkesbury,exact normalized name/key; NSW only,False
960,14000,Hornsby,New South Wales,,unmatched; outside frozen 103 councils,False
1012,14000,Hornsby,New South Wales,,unmatched; outside frozen 103 councils,False
960,14100,Hunters Hill,New South Wales,huntershill,exact normalized name/key; NSW only,False
960,14170,Inner West,New South Wales,,unmatched; outside frozen 103 councils,False
1012,14170,Inner West,New South Wales,,unmatched; outside frozen 103 councils,False
960,14220,Inverell,New South Wales,,unmatched; outside frozen 103 councils,False
960,14350,Kempsey,New South Wales,kempsey,exact normalized name/key; NSW only,False
1012,14350,Kempsey,New South Wales,kempsey,exact normalized name/key; NSW only,False
1198,14350,Kempsey,New South Wales,kempsey,exact normalized name/key; NSW only,False
1212,14350,Kempsey,New South Wales,kempsey,exact normalized name/key; NSW only,False
1012,14400,Kiama,New South Wales,kiama,exact normalized name/key; NSW only,False
1212,14400,Kiama,New South Wales,kiama,exact normalized name/key; NSW only,False
960,14500,Ku-ring-gai,New South Wales,kuringgai,exact normalized name/key; NSW only,False
1012,14500,Ku-ring-gai,New South Wales,kuringgai,exact normalized name/key; NSW only,False
954,14550,Kyogle,New South Wales,kyogle,exact normalized name/key; NSW only,False
960,14550,Kyogle,New South Wales,kyogle,exact normalized name/key; NSW only,False
1012,14550,Kyogle,New South Wales,kyogle,exact normalized name/key; NSW only,False
1198,14550,Kyogle,New South Wales,kyogle,exact normalized name/key; NSW only,False
960,14600,Lachlan,New South Wales,,unmatched; outside frozen 103 councils,False
960,14650,Lake Macquarie,New South Wales,lakemacquarie,exact normalized name/key; NSW only,False
1012,14650,Lake Macquarie,New South Wales,lakemacquarie,exact normalized name/key; NSW only,False
1212,14650,Lake Macquarie,New South Wales,lakemacquarie,exact normalized name/key; NSW only,False
954,14850,Lismore,New South Wales,lismore,exact normalized name/key; NSW only,False
960,14850,Lismore,New South Wales,lismore,exact normalized name/key; NSW only,False
1012,14850,Lismore,New South Wales,lismore,exact normalized name/key; NSW only,False
1198,14850,Lismore,New South Wales,lismore,exact normalized name/key; NSW only,False
960,14870,Lithgow,New South Wales,lithgow,exact normalized name/key; NSW only,False
1012,14870,Lithgow,New South Wales,lithgow,exact normalized name/key; NSW only,False
960,14900,Liverpool,New South Wales,liverpool,exact normalized name/key; NSW only,False
1012,14900,Liverpool,New South Wales,liverpool,exact normalized name/key; NSW only,False
960,14920,Liverpool Plains,New South Wales,liverpoolplains,exact normalized name/key; NSW only,False
960,15050,Maitland,New South Wales,maitland,exact normalized name/key; NSW only,False
