agrn,n_lga_rows,cat_C_positive,cat_D_positive,state,event_name,disaster_start_date,hazard_type,cat_C_zero,cat_C_proportion,cat_C_pattern,cat_D_zero,cat_D_proportion,cat_D_pattern,descriptive_event_scope,distinct_C_measures_recovered_minimum,C_measure_inventory_complete,independent_funding_decision_count,usable_positive_negative_contrasts
776,1,0,0,New South Wales,NSW - Tenterfield Bushfires (commencing 8 September 2017),2017-09-08,Bushfire,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
792,1,0,0,New South Wales,NSW - Singleton Bushfire (18 December 2017),2017-12-18,Bushfire,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
791,1,0,0,New South Wales,NSW - Tamworth Bushfire (25 December 2017 onwards),2017-12-25,Bushfire,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
789,3,0,0,New South Wales,"NSW - Tamworth, Uralla and Gwydir Bushfires (2 January 2018)",2018-01-02,Bushfire,3,0.0,no-C,3,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
795,1,0,0,New South Wales,NSW - Port Stephens bushfire (8 January 2018),2018-01-08,Bushfire,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
803,3,0,0,New South Wales,"NSW - Singleton, Cessnock and Muswellbrook Bushfires (13 January 2018 onwards)",2018-01-13,Bushfire,3,0.0,no-C,3,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
806,1,0,0,New South Wales,NSW - Upper Lachlan (Long Gully) Bushfire (19 January 2018 onwards),2018-01-19,Bushfire,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
805,1,0,0,New South Wales,NSW - Sutherland (Royal National Park) Bushfire (20 January 2018 onwards),2018-01-20,Bushfire,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
814,1,0,0,New South Wales,NSW - Upper Hunter Bushfires (23 January 2018 onwards),2018-01-23,Bushfire,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
793,4,0,0,Western Australia,WA - Tropical Cyclone Kelvin and Associated Flooding (17 - 19 February 2018),2018-02-17,"Cyclone, Flood",4,0.0,no-C,4,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
818,1,0,0,New South Wales,NSW - Shoalhaven bushfires (11 August 2018 onwards),2018-08-11,Bushfire,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
823,3,0,0,New South Wales,"NSW - Richmond Valley, Lismore and Kyogle bushfires (12 August 2018 onwards)",2018-08-12,Bushfire,3,0.0,no-C,3,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
841,1,0,0,New South Wales,NSW - Tamworth (Rockview) Bushfire (30 October 2018 onwards),2018-10-30,Bushfire,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
842,2,0,0,New South Wales,NSW - Port Stephens and Cessnock Bushfires (22 November 2018),2018-11-22,Bushfire,2,0.0,no-C,2,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
855,1,0,0,New South Wales,NSW - Tamworth (Halls Creek Road) Bushfires(3 January 2019 onwards),2019-01-03,Bushfire,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
853,2,0,0,New South Wales,NSW - Parkes and Cabonne (Curembenya) Bushfires(5 January 2019 onwards),2019-01-05,Bushfire,2,0.0,no-C,2,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
856,2,0,0,New South Wales,NSW - Parkes and Greater Hume Storms(22-23 January 2019),2019-01-22,Storm,2,0.0,no-C,2,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
862,2,0,0,New South Wales,NSW - Tamworth Regional and Upper Hunter Bushfires (11 February 2019 onwards),2019-02-11,Bushfire,2,0.0,no-C,2,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
867,2,0,0,New South Wales,NSW - Singleton and Muswellbrook Bushfires (11 February 2019 onwards),2019-02-11,Bushfire,2,0.0,no-C,2,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
864,1,0,0,New South Wales,NSW - Tenterfield Bushfires (9 March 2019 onwards),2019-03-09,Bushfire,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
881,6,0,0,New South Wales,Sydney and Southern Highlands Storms (5 September 2019 onwards),2019-09-05,Storm,6,0.0,no-C,6,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
916,3,0,0,New South Wales,NSW - Western NSW Floods (26 February 2020 onwards),2020-02-26,Flood,3,0.0,no-C,3,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
917,5,0,0,New South Wales,NSW - Western NSW Storms and Floods (3-4 April 2020),2020-04-03,"Flood, Storm",5,0.0,no-C,5,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
918,5,0,0,New South Wales,NSW - Western NSW Storms and Floods (10-12 April 2020),2020-04-10,"Flood, Storm",5,0.0,no-C,5,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
935,13,0,0,Northern Territory,AGRN 935 - Northern Territory Bushfires (1 August - 19 September 2020),2020-08-01,Bushfire,13,0.0,no-C,13,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
923,16,0,0,New South Wales,AGRN 923 - NSW Storms and Floods (5 August 2020 onwards),2020-08-05,Flood,16,0.0,no-C,16,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
938,2,0,0,New South Wales,AGRN 938 - Central NSW Storms (18 August 2020 onwards),2020-08-18,Storm,2,0.0,no-C,2,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
939,5,0,0,Victoria,AGRN 939 - Victoria Floods and Storms (7 October 2020 onwards),2020-10-07,Storm,5,0.0,no-C,5,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
957,1,0,0,Queensland,AGRN 957 - Kooralbyn Bushfire (12-19 October 2020),2020-10-12,Bushfire,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
936,8,0,0,New South Wales,AGRN 936 - NSW Storms and Floods (20 October 2020 onwards),2020-10-20,Storm,8,0.0,no-C,8,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
940,1,0,0,South Australia,AGRN 940 - Flinders Ranges Council Storm Event (October 2020),2020-10-23,Storm,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
937,2,0,0,Queensland,AGRN 937 - South East Queensland Hailstorm (31 October 2020),2020-10-31,Storm,2,0.0,no-C,2,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
941,1,0,0,Queensland,AGRN 941 - K’gari (Fraser Island) Bushfires (15 Nov - 4 Dec 2020),2020-11-09,Bushfire,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
942,3,0,0,Victoria,AGRN 942 - Central-East Victoria Storms (commencing 15 November 2020),2020-11-15,Storm,3,0.0,no-C,3,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
958,1,0,0,Queensland,AGRN 958 - Gumlow Bushfire (21-26 November 2020),2020-11-21,Bushfire,1,0.0,no-C,1,0.0,no-D,Measure-specific decision scope unresolved,,False,,0
