source_csv_row,agrn,Location_Name,Location_code,STATE,cat_A,cat_B,cat_C,cat_D,highest_drfa_category_group,AGDRP,DRA,recorded_any_DRFA
7,960,Armidale,10180,New South Wales,1,1,1,1,C/D,1,1,True
17,960,Ballina,10250,New South Wales,1,1,1,1,C/D,1,1,True
22,960,Bathurst,10470,New South Wales,1,1,1,1,C/D,1,1,True
31,960,Bega Valley,10550,New South Wales,1,1,1,1,C/D,1,1,True
45,960,Bellingen,10600,New South Wales,1,1,1,1,C/D,1,1,True
53,960,Blacktown,10750,New South Wales,1,1,1,1,C/D,1,1,True
68,960,Blue Mountains,10900,New South Wales,1,1,1,1,C/D,1,1,True
75,960,Bogan,10950,New South Wales,1,1,1,1,C/D,0,0,True
89,960,Brewarrina,11200,New South Wales,1,1,1,1,C/D,1,1,True
99,960,Byron,11350,New South Wales,1,1,1,1,C/D,1,1,True
107,960,Cabonne,11400,New South Wales,1,1,1,1,C/D,1,1,True
116,960,Camden,11450,New South Wales,1,1,1,1,C/D,1,1,True
124,960,Campbelltown (NSW),11500,New South Wales,1,1,1,1,C/D,1,1,True
129,960,Canterbury-Bankstown,11570,New South Wales,1,1,1,1,C/D,1,1,True
136,960,Central Coast (NSW),11650,New South Wales,1,1,1,1,C/D,1,1,True
148,960,Central Darling,11700,New South Wales,1,1,1,1,C/D,0,0,True
158,960,Cessnock,11720,New South Wales,1,1,1,1,C/D,1,1,True
168,960,Clarence Valley,11730,New South Wales,1,1,1,1,C/D,1,1,True
179,960,Cobar,11750,New South Wales,1,1,1,1,C/D,1,1,True
186,960,Coffs Harbour,11800,New South Wales,1,1,1,1,C/D,1,1,True
193,960,Coonamble,12150,New South Wales,1,1,1,1,C/D,0,0,True
209,960,Cumberland,12380,New South Wales,1,1,1,1,C/D,1,1,True
220,960,Dungog,12700,New South Wales,1,1,1,1,C/D,1,1,True
236,960,Eurobodalla,12750,New South Wales,1,1,1,1,C/D,1,1,True
244,960,Fairfield,12850,New South Wales,1,1,1,1,C/D,1,1,True
254,960,Georges River,12930,New South Wales,1,1,1,1,C/D,0,0,True
259,960,Gilgandra,12950,New South Wales,1,1,1,1,C/D,1,1,True
267,960,Glen Innes Severn,13010,New South Wales,1,1,1,1,C/D,1,1,True
274,960,Goulburn Mulwaree,13310,New South Wales,1,1,1,1,C/D,0,0,True
282,960,Greater Hume,13340,New South Wales,1,1,1,1,C/D,0,0,True
290,960,Gunnedah,13550,New South Wales,1,1,1,1,C/D,1,1,True
298,960,Gwydir,13660,New South Wales,1,1,1,1,C/D,1,1,True
308,960,Hawkesbury,13800,New South Wales,1,1,1,1,C/D,1,1,True
328,960,Hornsby,14000,New South Wales,1,1,1,1,C/D,1,1,True
333,960,Hunters Hill,14100,New South Wales,1,1,1,1,C/D,0,0,True
334,960,Inner West,14170,New South Wales,1,1,1,1,C/D,1,1,True
338,960,Inverell,14220,New South Wales,1,1,1,1,C/D,1,1,True
348,960,Kempsey,14350,New South Wales,1,1,1,1,C/D,1,1,True
364,960,Ku-ring-gai,14500,New South Wales,1,1,1,1,C/D,1,1,True
370,960,Kyogle,14550,New South Wales,1,1,1,1,C/D,1,1,True
378,960,Lachlan,14600,New South Wales,1,1,1,1,C/D,1,1,True
381,960,Lake Macquarie,14650,New South Wales,1,1,1,1,C/D,1,1,True
395,960,Lismore,14850,New South Wales,1,1,1,1,C/D,1,1,True
404,960,Lithgow,14870,New South Wales,1,1,1,1,C/D,1,1,True
416,960,Liverpool,14900,New South Wales,1,1,1,1,C/D,1,1,True
420,960,Liverpool Plains,14920,New South Wales,1,1,1,1,C/D,1,1,True
432,960,Maitland,15050,New South Wales,1,1,1,1,C/D,1,1,True
441,960,Mid-Coast,15240,New South Wales,1,1,1,1,C/D,1,1,True
467,960,Moree Plains,15300,New South Wales,1,1,1,1,C/D,1,1,True
479,960,Muswellbrook,15650,New South Wales,1,1,1,1,C/D,0,0,True
493,960,Nambucca Valley,15700,New South Wales,1,1,1,1,C/D,1,1,True
500,960,Narrabri,15750,New South Wales,1,1,1,1,C/D,1,1,True
515,960,Narromine,15850,New South Wales,1,1,1,1,C/D,0,0,True
521,960,Newcastle,15900,New South Wales,1,1,1,1,C/D,1,1,True
526,960,Northern Beaches,15990,New South Wales,1,1,1,1,C/D,1,1,True
535,960,Oberon,16100,New South Wales,1,1,1,1,C/D,1,1,True
543,960,Orange,16150,New South Wales,0,0,0,0,unknown,1,1,False
556,960,Parramatta,16260,New South Wales,1,1,1,1,C/D,1,1,True
559,960,Penrith,16350,New South Wales,1,1,1,1,C/D,1,1,True
565,960,Port Macquarie-Hastings,16380,New South Wales,1,1,1,1,C/D,1,1,True
576,960,Port Stephens,16400,New South Wales,1,1,1,1,C/D,1,1,True
586,960,Queanbeyan-Palerang,16490,New South Wales,1,1,1,1,C/D,1,1,True
596,960,Richmond Valley,16610,New South Wales,1,1,1,1,C/D,1,1,True
612,960,Shoalhaven,16950,New South Wales,1,1,1,1,C/D,1,1,True
624,960,Singleton,17000,New South Wales,1,1,1,1,C/D,1,1,True
