source_id,url,accessed_at,http_status,local_file,sha256,title,preview,document_version_date,date_type,first_publication_date,date_caveat,local_access_status,review_channel
metadata_api,https://data.gov.au/data/api/3/action/package_show?id=10ba7303-e3af-41b4-98b5-e04db77caea8,2026-09-19T02:44:18.763739+00:00,200,sources/metadata_api.json,84f7084a0c8ac41066dc1c42d4cf7df68615f085e914157ecb78329bdbb525ed,metadata_api,,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
nema_drfa,https://www.nema.gov.au/our-work/disaster-recovery/disaster-recovery-funding-arrangements,2026-09-19T02:44:18.708405+00:00,200,sources/nema_drfa.html,7659494ca466ba4bb5400ff5838ff1fbae31ddf0a5a84820d37653736dfbcf98,Disaster Recovery Funding Arrangements | NEMA,"Disaster Recovery Funding Arrangements | NEMA Skip to main content If you are in a life-threatening situation, call Trip",2026-01-02,page last updated,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
guideline_c,https://www.nema.gov.au/sites/default/files/2024-08/drfa-2018-guideline-3-category-c-assessment-framework.pdf,2026-09-19T02:44:19.319861+00:00,200,sources/guideline_c.pdf,660e5c67e6f8eb8d62c1a1f6547e7ff3d9ef9fcbb41f4028698850272663e69c,guideline_c," 
  
 
Disaster Recovery Funding Arrangements 
2018 
Guideline 3 - Category C assessment framework 
Category C principle",,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
qra_categories,https://www.qra.qld.gov.au/funding/drfa/drfa-categories,2026-09-19T02:44:18.782832+00:00,200,sources/qra_categories.html,d02f0ecb1a53663e675e110e34ce22a38cec3bf8f40aa3b822245528a55eb948,DRFA categories | Queensland Reconstruction Authority,DRFA categories | Queensland Reconstruction Authority Skip to main content Queensland Reconstruction Authority Main navi,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
qra_sitemap,https://www.qra.qld.gov.au/sitemap,2026-09-19T02:44:18.806849+00:00,200,sources/qra_sitemap.html,22715cf163c4ad493e63b34fcf4cdeeb2f12d8c646aebec326d32096ca3a10de,Sitemap | Queensland Reconstruction Authority,Sitemap | Queensland Reconstruction Authority Skip to main content Queensland Reconstruction Authority Main navigation T,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
anao,https://www.anao.gov.au/work/performance-audit/administration-the-disaster-recovery-funding-arrangements,2026-09-19T02:44:18.779462+00:00,200,sources/anao.html,4ebf65cf5f3655e5f6f65678a536ede5a2c6eb10433abfd545af4fb28889be12,Administration of the Disaster Recovery Funding Arrangements | Australian National Audit Office (ANAO),Administration of the Disaster Recovery Funding Arrangements | Australian National Audit Office (ANAO) Skip to main cont,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
nsw960,https://www.disasterassist.gov.au/Pages/disasters/current-disasters/New-South-Wales/storms-floods-10-March-2021-onwards.aspx,2026-09-19T02:44:19.511706+00:00,200,sources/nsw960.html,b51195849958186d2caf887de0ef66ff5d16e1c2a6cfeb0b3b66dd22f1dc9cab,"
	
  NSW Storms and Floods: 10 March 2021

",NSW Storms and Floods: 10 March 2021 Skip to navigation Skip to main content Loading Menu  Menu Home Affairs Portfolio ,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
qra_0,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2025-western-queensland-surface-trough-exceptional-circumstances-packages,2026-09-19T02:44:59.862603+00:00,200,sources/qra_0.html,9d1ff8dd23b94847c5aa02e65e3d11391bf0a5abcfeb53683848d2411a4d5829,2025 Western Queensland Surface Trough - exceptional circumstances packages | Queensland Reconstruction Authority,2025 Western Queensland Surface Trough - exceptional circumstances packages | Queensland Reconstruction Authority Skip t,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
qra_1,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2025-tropical-cyclone-alfred-exceptional-circumstances,2026-09-19T02:44:59.853978+00:00,200,sources/qra_1.html,ac57b5e43505b37a5e4b4df3fe95fcf2f5bfb1c2ca7c690bab8591885b89539e,2025 Tropical Cyclone Alfred - exceptional circumstances | Queensland Reconstruction Authority,2025 Tropical Cyclone Alfred - exceptional circumstances | Queensland Reconstruction Authority Skip to main content Quee,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
qra_2,https://www.qra.qld.gov.au/funding-programs/event-specific-exceptional-circumstances-assistance/2025-north-and-far-north-tropical-low-exceptional-circumstances-package,2026-09-19T02:44:59.720660+00:00,200,sources/qra_2.html,268dfc204627f4692aa97ebb30c06f15e9cfc2d5967b83960220d7d9ce81b7b7,2025 North and Far North Tropical Low - exceptional circumstances package | Queensland Reconstruction Authority,2025 North and Far North Tropical Low - exceptional circumstances package | Queensland Reconstruction Authority Skip to ,,UNKNOWN / see document,,"Version or last-update dates are not first publication, decision or payment dates.",retrieved,cached official document
