Location_Name,Location_Type,Location_code,STATE,event_name,agrn,cat_A,cat_B,cat_C,cat_D,highest_drfa_category_group,AGDRP,DRA,hazard_type,disaster_start_date
Albury,LGA,10050,New South Wales,AGRN 1001 - NSW - Southern NSW Storm and Floods (5 January 2022 onwards),1001,1,1,0,1,C/D,0,0,Flood,2022-01-05
Albury,LGA,10050,New South Wales,AGRN 1030 - Southern and Central West Flooding (4 August 2022 onwards),1030,1,1,0,1,C/D,0,0,Flood,2022-08-04
Albury,LGA,10050,New South Wales,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,1,1,0,1,C/D,0,1,Flood,2022-09-14
Armidale,LGA,10180,New South Wales,AGRN 936 - NSW Storms and Floods (20 October 2020 onwards),936,1,1,0,0,A/B,0,0,Storm,2020-10-20
Armidale,LGA,10180,New South Wales,AGRN 943 - NSW Storms and Floods (10 December 2020 onwards),943,1,1,0,0,A/B,0,0,Storm,2020-12-10
Armidale,LGA,10180,New South Wales,AGRN 960 - NSW Storms and Floods (10 March 2021 onwards),960,1,1,1,1,C/D,1,1,Flood,2021-03-10
Armidale,LGA,10180,New South Wales,AGRN 979 - NSW - Armidale Storm (14 October 2021),979,1,1,0,0,A/B,0,0,Storm,2021-10-14
Armidale,LGA,10180,New South Wales,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,1,1,1,1,C/D,1,1,Flood,2022-02-22
Armidale,LGA,10180,New South Wales,AGRN 1071 - North Eastern NSW Bushfires (21 August 2023 onwards),1071,0,1,0,0,A/B,0,0,Bushfire,2023-08-21
Armidale,LGA,10180,New South Wales,AGRN 1112 - Armidale NSW Bushfires (9 December - 23 December 2023),1112,0,1,0,0,A/B,0,0,Bushfire,2023-12-09
Armidale,LGA,10180,New South Wales,AGRN 1119 - NSW East Coast Flooding (from 1 April 2024 onwards),1119,1,1,0,0,A/B,0,0,Flood,2024-04-01
Armidale,LGA,10180,New South Wales,AGRN 1198 - Tropical Cyclone Alfred Severe Weather (from 3 March 2025),1198,1,1,1,1,C/D,0,1,Cyclone,2025-03-03
Armidale,LGA,10180,New South Wales,AGRN 1212- NSW East Coast Severe Weather (from 18 May 2025),1212,1,1,1,1,C/D,0,1,Storm,2025-05-18
Armidale,LGA,10180,New South Wales,AGRN 1216 - NSW Severe Weather Event (from 31 July onwards),1216,1,1,0,0,A/B,0,0,Storm,2025-07-31
Ballina,LGA,10250,New South Wales,AGRN 943 - NSW Storms and Floods (10 December 2020 onwards),943,1,1,0,0,A/B,0,0,Storm,2020-12-10
Ballina,LGA,10250,New South Wales,AGRN 960 - NSW Storms and Floods (10 March 2021 onwards),960,1,1,1,1,C/D,1,1,Flood,2021-03-10
Ballina,LGA,10250,New South Wales,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,1,1,1,1,C/D,1,1,Flood,2022-02-22
Ballina,LGA,10250,New South Wales,AGRN 1198 - Tropical Cyclone Alfred Severe Weather (from 3 March 2025),1198,1,1,1,1,C/D,1,1,Cyclone,2025-03-03
Balranald,LGA,10300,New South Wales,AGRN 987 - NSW Severe Weather and Flooding from 9 November 2021 onwards,987,1,1,0,1,C/D,0,0,Flood,2021-11-09
Balranald,LGA,10300,New South Wales,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,1,1,0,1,C/D,1,1,Flood,2022-09-14
Bathurst,LGA,10470,New South Wales,AGRN 960 - NSW Storms and Floods (10 March 2021 onwards),960,1,1,1,1,C/D,1,1,Flood,2021-03-10
Bathurst,LGA,10470,New South Wales,AGRN 987 - NSW Severe Weather and Flooding from 9 November 2021 onwards,987,1,1,0,1,C/D,0,1,Flood,2021-11-09
Bathurst,LGA,10470,New South Wales,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,1,1,0,1,C/D,1,1,Flood,2022-09-14
Bathurst,LGA,10470,New South Wales,AGRN 1052 - NSW Bushfires (6 March 2023),1052,1,1,0,0,A/B,0,0,Bushfire,2023-03-06
Bathurst,LGA,10470,New South Wales,AGRN 1193 - Bathurst and Lithgow NSW Bushfire (23 December 2024 - 11 January 2025),1193,0,1,0,0,A/B,0,0,Bushfire,2024-12-23
Bayside (NSW),LGA,10500,New South Wales,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,1,1,1,1,C/D,1,1,Flood,2022-02-22
Bayside (NSW),LGA,10500,New South Wales,AGRN 1025 - NSW Severe Weather and Flooding (27 June 2022 onwards),1025,1,1,0,1,C/D,1,1,Flood,2022-06-27
Bega Valley,LGA,10550,New South Wales,AGRN 923 - NSW Storms and Floods (5 August 2020 onwards),923,1,1,0,0,A/B,0,0,Flood,2020-08-05
Bega Valley,LGA,10550,New South Wales,AGRN 936 - NSW Storms and Floods (20 October 2020 onwards),936,1,1,0,0,A/B,0,0,Storm,2020-10-20
Bega Valley,LGA,10550,New South Wales,AGRN 960 - NSW Storms and Floods (10 March 2021 onwards),960,1,1,1,1,C/D,1,1,Flood,2021-03-10
Bega Valley,LGA,10550,New South Wales,AGRN 970 - Southern NSW Storms and Floods (5 May 2021 onwards),970,1,1,0,0,A/B,0,0,Storm,2021-05-05
Bega Valley,LGA,10550,New South Wales,AGRN 987 - NSW Severe Weather and Flooding from 9 November 2021 onwards,987,1,1,0,1,C/D,0,1,Flood,2021-11-09
Bega Valley,LGA,10550,New South Wales,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,1,1,1,1,C/D,1,1,Flood,2022-02-22
Bega Valley,LGA,10550,New South Wales,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,1,1,0,1,C/D,0,1,Flood,2022-09-14
Bega Valley,LGA,10550,New South Wales,AGRN 1070 - Bega Valley NSW Bushfires (3 October 2023 onwards),1070,1,1,0,0,A/B,0,0,Bushfire,2023-10-03
Bega Valley,LGA,10550,New South Wales,AGRN 1086 NSW Severe Weather and Flooding (28 November 2023 onwards),1086,1,1,0,0,A/B,0,0,Flood,2023-11-28
Bega Valley,LGA,10550,New South Wales,AGRN 1100 - NSW Storms and Floods (25 December 2023 onwards),1100,0,1,0,0,A/B,0,0,Flood,2023-12-25
Bega Valley,LGA,10550,New South Wales,AGRN 1200 - NSW Bega Valley and Snowy Monaro Storms (From 8 February 2025),1200,1,1,0,0,A/B,0,0,Storm,2025-02-08
Bega Valley,LGA,10550,New South Wales,AGRN 1212- NSW East Coast Severe Weather (from 18 May 2025),1212,1,1,1,1,C/D,0,0,Storm,2025-05-18
Bega Valley,LGA,10550,New South Wales,AGRN 1217 - NSW South Coast Severe Weather (from 30 June 2025),1217,0,1,0,0,A/B,0,0,Storm,2025-06-30
Bega Valley,LGA,10550,New South Wales,AGRN 1260 - NSW Severe Weather Event (from 14 January 2026),1260,1,1,0,0,A/B,0,0,Storm,2026-01-14
Bega Valley,LGA,10550,New South Wales,AGRN 1263 - Eurobodalla and Bega Valley NSW Bushfire (from 7 January 2026),1263,0,1,0,0,A/B,0,0,Bushfire,2026-01-07
Bellingen,LGA,10600,New South Wales,AGRN 943 - NSW Storms and Floods (10 December 2020 onwards),943,1,1,0,0,A/B,0,0,Storm,2020-12-10
Bellingen,LGA,10600,New South Wales,AGRN 960 - NSW Storms and Floods (10 March 2021 onwards),960,1,1,1,1,C/D,1,1,Flood,2021-03-10
Bellingen,LGA,10600,New South Wales,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,1,1,1,1,C/D,1,1,Flood,2022-02-22
Bellingen,LGA,10600,New South Wales,AGRN 1198 - Tropical Cyclone Alfred Severe Weather (from 3 March 2025),1198,1,1,1,1,C/D,1,1,Cyclone,2025-03-03
Bellingen,LGA,10600,New South Wales,AGRN 1212- NSW East Coast Severe Weather (from 18 May 2025),1212,1,1,1,1,C/D,1,1,Storm,2025-05-18
Bellingen,LGA,10600,New South Wales,AGRN 1260 - NSW Severe Weather Event (from 14 January 2026),1260,1,1,0,0,A/B,0,0,Storm,2026-01-14
Berrigan,LGA,10650,New South Wales,AGRN 987 - NSW Severe Weather and Flooding from 9 November 2021 onwards,987,1,1,0,1,C/D,0,0,Flood,2021-11-09
Berrigan,LGA,10650,New South Wales,AGRN 1001 - NSW - Southern NSW Storm and Floods (5 January 2022 onwards),1001,1,1,0,1,C/D,0,0,Flood,2022-01-05
Berrigan,LGA,10650,New South Wales,AGRN 1034 - NSW Flooding (14 September 2022 onwards),1034,1,1,0,1,C/D,0,1,Flood,2022-09-14
Blacktown,LGA,10750,New South Wales,AGRN 960 - NSW Storms and Floods (10 March 2021 onwards),960,1,1,1,1,C/D,1,1,Flood,2021-03-10
Blacktown,LGA,10750,New South Wales,AGRN 1012 - NSW Severe Weather and Flooding (22 February 2022 onwards),1012,1,1,1,1,C/D,1,1,Flood,2022-02-22
Blacktown,LGA,10750,New South Wales,AGRN 1025 - NSW Severe Weather and Flooding (27 June 2022 onwards),1025,1,1,0,1,C/D,1,1,Flood,2022-06-27
Blacktown,LGA,10750,New South Wales,AGRN 1119 - NSW East Coast Flooding (from 1 April 2024 onwards),1119,1,1,0,0,A/B,0,0,Flood,2024-04-01
Blacktown,LGA,10750,New South Wales,AGRN 1170 - NSW Severe Weather and Storms from 15 January 2025,1170,1,1,0,0,A/B,0,0,Storm,2025-01-15
Blacktown,LGA,10750,New South Wales,AGRN 1247 - NSW Severe Weather Event (from 26 November 2025),1247,1,1,0,0,A/B,0,0,Storm,2025-11-26
