council_key,financial_year,year_start,category_id,category_label,stage,amount_aud,value_status,source_id,source_page,source_url,quality_status,scope_class,causal_eligible,reference_period_end,decision_date,decision_status
richmondvalley,2021-22,2021,richmondvalley:festivals_and_events,Festivals and Events,B0,0.0,observed,richmond_q3,8.0,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,usable_for_descriptive_budget_only,mixed_or_unverified,False,,,original_column_reproduced_in_review_adoption_not_fully_audited
richmondvalley,2021-22,2021,richmondvalley:festivals_and_events,Festivals and Events,Q1,0.0,observed,richmond_q1,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-30-September-2021.pdf,usable_for_descriptive_budget_only,mixed_or_unverified,False,2021-09-30,2021-10-19,approved_verified_minutes
richmondvalley,2021-22,2021,richmondvalley:festivals_and_events,Festivals and Events,Q2,0.0,observed,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,usable_for_descriptive_budget_only,mixed_or_unverified,False,2021-12-31,2022-02-15,approved_verified_minutes
richmondvalley,2021-22,2021,richmondvalley:festivals_and_events,Festivals and Events,Q3,0.0,observed,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,usable_for_descriptive_budget_only,mixed_or_unverified,False,2022-03-31,2022-05-17,approved_verified_minutes
richmondvalley,2021-22,2021,richmondvalley:festivals_and_events,Festivals and Events,ACTUAL,,missing_not_reconstructed,,,,usable_for_descriptive_budget_only,mixed_or_unverified,False,,,
richmondvalley,2021-22,2021,richmondvalley:swimming_pools,Swimming Pools,B0,6085000.0,observed,richmond_q3,8.0,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,usable_for_descriptive_budget_only,mixed_or_unverified,False,,,original_column_reproduced_in_review_adoption_not_fully_audited
richmondvalley,2021-22,2021,richmondvalley:swimming_pools,Swimming Pools,Q1,5001808.0,observed,richmond_q1,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-30-September-2021.pdf,usable_for_descriptive_budget_only,mixed_or_unverified,False,2021-09-30,2021-10-19,approved_verified_minutes
richmondvalley,2021-22,2021,richmondvalley:swimming_pools,Swimming Pools,Q2,5021808.0,observed,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,usable_for_descriptive_budget_only,mixed_or_unverified,False,2021-12-31,2022-02-15,approved_verified_minutes
richmondvalley,2021-22,2021,richmondvalley:swimming_pools,Swimming Pools,Q3,3459630.0,observed,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,usable_for_descriptive_budget_only,mixed_or_unverified,False,2022-03-31,2022-05-17,approved_verified_minutes
richmondvalley,2021-22,2021,richmondvalley:swimming_pools,Swimming Pools,ACTUAL,,missing_not_reconstructed,,,,usable_for_descriptive_budget_only,mixed_or_unverified,False,,,
richmondvalley,2021-22,2021,richmondvalley:libraries,Libraries,B0,106333.0,observed,richmond_q3,8.0,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,usable_for_descriptive_budget_only,mixed_or_unverified,False,,,original_column_reproduced_in_review_adoption_not_fully_audited
richmondvalley,2021-22,2021,richmondvalley:libraries,Libraries,Q1,408545.0,observed,richmond_q1,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-30-September-2021.pdf,usable_for_descriptive_budget_only,mixed_or_unverified,False,2021-09-30,2021-10-19,approved_verified_minutes
richmondvalley,2021-22,2021,richmondvalley:libraries,Libraries,Q2,612473.0,observed,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,usable_for_descriptive_budget_only,mixed_or_unverified,False,2021-12-31,2022-02-15,approved_verified_minutes
richmondvalley,2021-22,2021,richmondvalley:libraries,Libraries,Q3,658982.0,observed,richmond_q3,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,usable_for_descriptive_budget_only,mixed_or_unverified,False,2022-03-31,2022-05-17,approved_verified_minutes
richmondvalley,2021-22,2021,richmondvalley:libraries,Libraries,ACTUAL,,missing_not_reconstructed,,,,usable_for_descriptive_budget_only,mixed_or_unverified,False,,,
richmondvalley,2021-22,2021,richmondvalley:emergency_management,Emergency Management,B0,0.0,observed,richmond_q3,8.0,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf,usable_for_descriptive_budget_only,mixed_or_unverified,False,,,original_column_reproduced_in_review_adoption_not_fully_audited
richmondvalley,2021-22,2021,richmondvalley:emergency_management,Emergency Management,Q1,641857.0,observed,richmond_q1,8,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-30-September-2021.pdf,usable_for_descriptive_budget_only,mixed_or_unverified,False,2021-09-30,2021-10-19,approved_verified_minutes
