council_key,year_start,stage,reference_period_end,decision_date,decision_status,source_id,source_url,source_locator,publication_date,publication_status,note
richmondvalley,2021,Q1,2021-09-30,2021-10-19,approved_verified_minutes,richmond_q1_minutes,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/11/CO_20211019_MIN_31671.pdf,8;191021/7,,historical_first_publication_not_verified,Quarter end is not approval or publication date.
richmondvalley,2021,Q2,2021-12-31,2022-02-15,approved_verified_minutes,richmond_q2_minutes,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/02/Minutes-15-February-2022.pdf,14;item15.2,,historical_first_publication_not_verified,Quarter end is not approval or publication date.
richmondvalley,2021,Q3,2022-03-31,2022-05-17,approved_verified_minutes,richmond_q3_minutes,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/05/Unconfirmed-Minutes-Ordinary-Meeting-17-May-2022.pdf,10;170522/11,,historical_first_publication_not_verified,Quarter end is not approval or publication date.
lismore,2021,Q1,2021-09-30,2021-11-09,approved_verified_minutes,lismore_all2021_oc_09112021_min,https://lismore.infocouncil.biz/Open/2021/11/OC_09112021_MIN.PDF,10;94/21,,historical_first_publication_not_verified,Quarter end is not approval or publication date.
lismore,2021,Q2,2021-12-31,2022-02-16,approved_verified_minutes,lismore_oc_08022022_min,https://lismore.infocouncil.biz/RedirectToDoc.aspx?URL=Open/2022/02/OC_08022022_MIN.PDF,12-13 and21;48/22; reconvened16Feb,,historical_first_publication_not_verified,Lismore Q2 reconvened 16 February; source running header still says 8 February.
lismore,2021,Q3,2022-03-31,2022-05-10,approved_verified_minutes,lismore_oc_10052022_min,https://lismore.infocouncil.biz/RedirectToDoc.aspx?URL=Open/2022/05/OC_10052022_MIN.PDF,PDF12;136/22,,historical_first_publication_not_verified,"Statement adopted with additional $5m reserve transfer for uninsured assets, renewal and cashflow. Source table is attachment as adopted; amended funding not reconstructed."
griffith,2019,Q1,2019-09-30,2019-11-26,approved_verified_minutes,griffith_2019_co_26112019_min_1080,https://businesspapers.griffith.nsw.gov.au/Open/2019/11/CO_26112019_MIN_1080.PDF,5;19/366,,historical_first_publication_not_verified,Quarter end is not approval or publication date.
griffith,2019,Q2,2019-12-31,2020-02-25,approved_verified_minutes,griffith_2020_co_25022020_min_1261,https://businesspapers.griffith.nsw.gov.au/Open/2020/02/CO_25022020_MIN_1261.PDF,2;20/044,,historical_first_publication_not_verified,Quarter end is not approval or publication date.
griffith,2019,Q3,2020-03-31,2020-05-26,approved_verified_minutes,griffith_q3_minutes,https://businesspapers.griffith.nsw.gov.au/Open/2020/05/CO_26052020_MIN_1267.PDF,8;20/138,,historical_first_publication_not_verified,Quarter end is not approval or publication date.
waggawagga,2021,Q1,2021-09-30,2021-10-25,approved_verified_minutes,wagga_q1_minutes,https://meetings.wagga.nsw.gov.au/Open/2021/10/OC_25102021_MIN_4814.HTM,RP6,,historical_first_publication_not_verified,Quarter end is not approval or publication date.
waggawagga,2021,Q2,2021-12-31,2022-01-31,approved_verified_minutes,wagga_q2_minutes,https://meetings.wagga.nsw.gov.au/Open/2022/01/OC_31012022_MIN_4855.htm,22/027,,historical_first_publication_not_verified,Quarter end is not approval or publication date.
waggawagga,2021,Q3,2022-03-31,2022-04-11,approved_verified_minutes,wagga_q3_minutes,https://meetings.wagga.nsw.gov.au/Open/2022/04/OC_11042022_MIN_4870.htm,22/119,,historical_first_publication_not_verified,Quarter end is not approval or publication date.
eurobodalla,2019,Q1,2019-09-30,2019-11-26,approved_verified_minutes,euro_q1_minutes,https://www.esc.nsw.gov.au/__data/assets/pdf_file/0003/158016/Minutes-26-November-2019.pdf,PDF30;19/245,,historical_first_publication_not_verified,Quarter end is not approval or publication date.
eurobodalla,2019,Q2,2019-12-31,,proposal_resolution_unverified,euro_q2_minutes,https://www.esc.nsw.gov.au/__data/assets/pdf_file/0004/159106/Minutes-25-February-2020.pdf,retrieval failed; meeting25Feb2020,,historical_first_publication_not_verified,Quarter end is not approval or publication date.
eurobodalla,2019,Q3,2020-03-31,,proposal_resolution_unverified,euro_q3_minutes,https://www.esc.nsw.gov.au/__data/assets/pdf_file/0020/160571/Minutes-28-May-2020.pdf,retrieval failed; index26May filename28May,,historical_first_publication_not_verified,Quarter end is not approval or publication date.
