label,code,B0,carryover,Sep_change,Dec_change,Mar_change,reported_Q3,actual_YTD_March
Business Development,BD,1990000,260196,0,-1650196,0,600000,114538
Commercial Entities,CE,4704415,431755,-254700,31846,-2300000,2613316,1979993
Community & Cultural Development,CCD,8120,57119,-40000,0,0,25239,282951
Community Care,CC,0,0,0,0,0,0,18577
Community Facilities,CF,391090,13043,-270210,10000,55000,198923,58724
Environmental Management,EM,0,54140,0,0,0,54140,0
Finance and Central Treasury,FCT,512895,0,-512895,0,0,0,0
Fleet and Plant,FP,3272895,299174,142272,-215000,4000,3503341,2127159
Information Technology,IT,755983,0,730000,0,0,1485983,900722
Libraries,L,176049,50969,0,0,0,227018,83558
Property,P,0,0,0,0,0,0,32755
Public Order and Safety,POS,150000,198829,1148931,0,-1300000,197760,179182
Recreation,R,4985403,390909,498474,-2820231,-631216,2423339,1159618
Risk and Insurance,RI,0,0,0,0,0,0,344
Sewer Services,SS,16070000,0,157923,-9040723,2177000,9364200,4673325
Stormwater,S,738858,0,-256501,0,0,482357,306779
Strategic Planning,SP,18700000,1475799,-16570000,-64360,-852520,2688919,1519492
Technical Services,TS,507450,0,0,0,0,507450,0
Transport,TR,13425168,748467,1846527,-823689,91608,15288080,9810978
Waste Management,WM,0,0,0,0,0,0,224810
Water Services,WS,8295000,0,-20000,-4000000,-800000,3475000,1891471
Works and Operations,WO,434681,36540,-40000,0,-172339,258882,50297
Workforce Development,WD,300000,0,-300000,0,0,0,0
Total Capital Expenditure,TOTAL,75418007,4016940,-13740180,-18572353,-3728467,43393946,25415272
