check,council_key,stage,residual_aud,status
category_sum,eurobodalla,B0,0.0,pass
category_sum,eurobodalla,Q1,1.0,rounding_flag
category_sum,eurobodalla,Q2,1.0,rounding_flag
category_sum,eurobodalla,Q3,1.0,rounding_flag
category_sum,griffith,B0,0.0,pass
category_sum,griffith,Q1,0.0,pass
category_sum,griffith,Q2,0.0,pass
category_sum,griffith,Q3,0.0,pass
category_sum,lismore,B0,0.0,pass
category_sum,lismore,Q1,0.0,pass
category_sum,lismore,Q2,0.0,pass
category_sum,lismore,Q3,0.0,pass
category_sum,richmondvalley,B0,0.0,pass
category_sum,richmondvalley,Q1,0.0,pass
category_sum,richmondvalley,Q2,0.0,pass
category_sum,richmondvalley,Q3,0.0,pass
category_sum,waggawagga,B0,,not_testable
category_sum,waggawagga,Q1,0.0,pass
category_sum,waggawagga,Q2,0.0,pass
category_sum,waggawagga,Q3,0.0,pass
euro_rollforward_TR,eurobodalla,Q3,-1.0,rounding_flag
euro_rollforward_TOTAL,eurobodalla,Q3,-1.0,rounding_flag
reported_oneoff_movement,waggawagga,Q1,1000000.0,fail_retained
QBR_original_vs_audited_original,griffith,B0,545.0,fail_retained
