source_id,url
richmond_q3,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-31-March-2022.pdf
richmond_may_agenda,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/05/Agenda-Ordinary-Meeting-17-May-2022.pdf
richmond_index,https://richmondvalley.nsw.gov.au/council/integrated-planning-and-reporting/
griffith_q3,https://businesspapers.griffith.nsw.gov.au/Open/2020/05/CO_26052020_ATT_1267_PLANS.PDF
griffith_q3_minutes,https://businesspapers.griffith.nsw.gov.au/Open/2020/05/CO_26052020_MIN_1267.PDF
euro_q3,https://www.esc.nsw.gov.au/__data/assets/pdf_file/0012/161040/March-Quarterly-Budget-Review-2020.pdf
euro_2020_index,https://www.esc.nsw.gov.au/council/meetings/agendas-and-minutes/2020
wagga_q3,https://meetings.wagga.nsw.gov.au/Open/2022/04/OC_11042022_AGN_4870_AT.HTM
wagga_q3_minutes,https://meetings.wagga.nsw.gov.au/Open/2022/04/OC_11042022_MIN_4870.htm
lismore_business,https://www.lismore.nsw.gov.au/Council/Council-meetings/Business-papers-and-minutes
lismore_meetings,https://www.lismore.nsw.gov.au/Council/Council-and-committee-meetings-schedule/Council-meeting-minutes-and-agendas
richmond_budgets_current,https://richmondvalley.nsw.gov.au/council/governance/budgets-and-financial-reports/
richmond_2022_index,https://richmondvalley.nsw.gov.au/council/council-meetings/2022-agendas-and-minutes/
richmond_delivery2022,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/08/FINAL-Delivery-Program-Progress-Report-Q4-30-June-2022.pdf
wagga_q1,https://meetings.wagga.nsw.gov.au/Open/2021/10/OC_25102021_AGN_4814_AT.htm
griffith_q2,https://businesspapers.griffith.nsw.gov.au/Open/2020/02/CO_25022020_AGN_1261_AT.PDF
euro_q2_attachment,https://www.esc.nsw.gov.au/__data/assets/pdf_file/0007/158956/Attachment-1-CCS20-006.pdf
lismore_archive,https://www.lismore.nsw.gov.au/Council/Council-and-committee-meetings-schedule/Archived-Council-business-papers
richmond_q1,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/11/Quarterly-Budget-Review-Statement-for-the-quarter-ended-30-September-2021.pdf
richmond_q1_minutes,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/11/CO_20211019_MIN_31671.pdf
richmond_q2_minutes,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/02/Minutes-15-February-2022.pdf
wagga_q2,https://meetings.wagga.nsw.gov.au/Open/2022/01/OC_31012022_AGN_4855_AT.htm
wagga_q2_minutes,https://meetings.wagga.nsw.gov.au/Open/2022/01/OC_31012022_MIN_4855.htm
euro_q1,https://www.esc.nsw.gov.au/__data/assets/pdf_file/0007/157804/September-quarterly-budget-review.pdf
lismore_portal,https://lismore.infocouncil.biz/
richmond_q2_attachments,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/02/CO_20220215_ATT_3185_EXCLUDED.pdf
richmond_q3_minutes,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/05/Unconfirmed-Minutes-Ordinary-Meeting-17-May-2022.pdf
wagga_fs2022,https://meetings.wagga.nsw.gov.au/Open/2022/11/OC_21112022_AGN_4884_AT_files/OC_21112022_AGN_4884_AT_Attachment_20049_1.PDF
wagga_q1_minutes,https://meetings.wagga.nsw.gov.au/Open/2021/10/OC_25102021_MIN_4814.HTM
lismore_oc_22062021_agn_at_extra,https://lismore.infocouncil.biz/RedirectToDoc.aspx?URL=Open/2021/06/OC_22062021_AGN_AT_EXTRA.PDF
lismore_oc_22062021_min_extra,https://lismore.infocouncil.biz/RedirectToDoc.aspx?URL=Open/2021/06/OC_22062021_MIN_EXTRA.PDF
lismore_oc_09082022_agn_at,https://lismore.infocouncil.biz/RedirectToDoc.aspx?URL=Open/2022/08/OC_09082022_AGN_AT.PDF
lismore_oc_09082022_att_excluded,https://lismore.infocouncil.biz/RedirectToDoc.aspx?URL=Open/2022/08/OC_09082022_ATT_EXCLUDED.PDF
lismore_oc_09082022_min,https://lismore.infocouncil.biz/RedirectToDoc.aspx?URL=Open/2022/08/OC_09082022_MIN.PDF
lismore_oc_10052022_agn_at,https://lismore.infocouncil.biz/RedirectToDoc.aspx?URL=Open/2022/05/OC_10052022_AGN_AT.PDF
lismore_oc_10052022_att_excluded,https://lismore.infocouncil.biz/RedirectToDoc.aspx?URL=Open/2022/05/OC_10052022_ATT_EXCLUDED.PDF
lismore_oc_10052022_min,https://lismore.infocouncil.biz/RedirectToDoc.aspx?URL=Open/2022/05/OC_10052022_MIN.PDF
lismore_oc_08022022_agn_at,https://lismore.infocouncil.biz/RedirectToDoc.aspx?URL=Open/2022/02/OC_08022022_AGN_AT.PDF
lismore_oc_08022022_att_excluded,https://lismore.infocouncil.biz/RedirectToDoc.aspx?URL=Open/2022/02/OC_08022022_ATT_EXCLUDED.PDF
lismore_oc_08022022_min,https://lismore.infocouncil.biz/RedirectToDoc.aspx?URL=Open/2022/02/OC_08022022_MIN.PDF
lismore_oc_09082022_agn_at_direct,https://lismore.infocouncil.biz/Open/2022/08/OC_09082022_AGN_AT.PDF
lismore_oc_09082022_att_excluded_direct,https://lismore.infocouncil.biz/Open/2022/08/OC_09082022_ATT_EXCLUDED.PDF
lismore_oc_10052022_agn_at_direct,https://lismore.infocouncil.biz/Open/2022/05/OC_10052022_AGN_AT.PDF
lismore_oc_10052022_att_excluded_direct,https://lismore.infocouncil.biz/Open/2022/05/OC_10052022_ATT_EXCLUDED.PDF
lismore_oc_08022022_agn_at_direct,https://lismore.infocouncil.biz/Open/2022/02/OC_08022022_AGN_AT.PDF
lismore_oc_08022022_att_excluded_direct,https://lismore.infocouncil.biz/Open/2022/02/OC_08022022_ATT_EXCLUDED.PDF
lismore_all2021_oc_09112021_agn_at,https://lismore.infocouncil.biz/Open/2021/11/OC_09112021_AGN_AT.PDF
lismore_all2021_oc_09112021_att_excluded,https://lismore.infocouncil.biz/Open/2021/11/OC_09112021_ATT_EXCLUDED.PDF
lismore_all2021_oc_09112021_min,https://lismore.infocouncil.biz/Open/2021/11/OC_09112021_MIN.PDF
griffith_2019_co_26112019_agn_1080_at,https://businesspapers.griffith.nsw.gov.au/Open/2019/11/CO_26112019_AGN_1080_AT.PDF
griffith_2019_co_26112019_min_1080,https://businesspapers.griffith.nsw.gov.au/Open/2019/11/CO_26112019_MIN_1080.PDF
griffith_2019_co_26112019_att_1080_excluded,https://businesspapers.griffith.nsw.gov.au/Open/2019/11/CO_26112019_ATT_1080_EXCLUDED.PDF
griffith_2019_co_26112019_att_1080_plans,https://businesspapers.griffith.nsw.gov.au/Open/2019/11/CO_26112019_ATT_1080_PLANS.PDF
griffith_2020_co_25022020_agn_1261_at,https://businesspapers.griffith.nsw.gov.au/Open/2020/02/CO_25022020_AGN_1261_AT.PDF
griffith_2020_co_25022020_min_1261,https://businesspapers.griffith.nsw.gov.au/Open/2020/02/CO_25022020_MIN_1261.PDF
griffith_2020_co_25022020_att_1261_excluded,https://businesspapers.griffith.nsw.gov.au/Open/2020/02/CO_25022020_ATT_1261_EXCLUDED.PDF
griffith_2020_co_25022020_att_1261_plans,https://businesspapers.griffith.nsw.gov.au/Open/2020/02/CO_25022020_ATT_1261_PLANS.PDF
euro_ar2020,https://www.esc.nsw.gov.au/__data/assets/pdf_file/0011/163001/E.ANNUAL-REPORT-2019-2020-FINAL.pdf
euro_reports,https://www.esc.nsw.gov.au/council/plans-and-reporting/performance-reporting
lismore_reports,https://www.lismore.nsw.gov.au/Council/Corporate-information/Annual-and-financial-reports
lismore_budgets,https://www.lismore.nsw.gov.au/Council/Corporate-information/Budget-Delivery-Program-and-Operational-Plan/Budgets
richmond_reports,https://richmondvalley.nsw.gov.au/council/governance/annual-reports/
