council,council_key,year_start,financial_year,fiscal_source_file,fiscal_source_sheet,fiscal_excel_row,actual_maintenance_aud,required_maintenance_aud,maintenance_gap_aud,maintenance_ratio_pct,outcome_observed,outcome_quality_eligible,maintenance_conflict,cash_cover_months,current_ratio,operating_ratio_pct,own_source_pct,grants_pct,debt_service_cover,population,area_km2,road_km,road_expenditure_aud,classification,fesm_burned_ha,fesm_burned_pct_raw,fesm_extent_only_ha,fesm_min_fire_size_ha_exclusive,fesm_source_file,fesm_excel_total_row,fesm_status,boundary_change_flag,boundary_compatibility,physical_flood_status,verified_zero_all_disaster_exposure,bushfire_declared_event_count,bushfire_agrns,bushfire_declaration_status,flood_declared_event_count,flood_agrns,flood_declaration_status,all_declared_event_count,all_agrns,all_declaration_status,source_list_disagreement_count,open_ended_onset_event_count,known_prior_year_carryover_count,prior_fy_declared_event_count,declaration_vs_fesm_scope_difference,candidate_no_new_declared_event,candidate_strict_scoped_comparison,direct_infrastructure_damage_documented,direct_infrastructure_evidence_ids
Albury,albury,2017,2017-18,time-series-data-2017-2018.xls,2017-18 DATA (Final),4,29194000.0,35160000.0,5966000.0,83.03185437997725,True,True,False,18.61,2.62,15.17,79.47,20.52579392087867,7.2,52949,305.9,581.05,11381000.0,Regional Town/City,0.0,0,,100.0,fire-extent-severity-mapping-results-2017-18.xlsx,7.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,1.0,False,True,False,,
Albury,albury,2018,2018-19,time-series-data-2018-2019.xlsx,2018_19_Councils,4,29652000.0,30059000.0,407000.0,98.64599620745868,True,True,False,1.22,2.41,13.69,70.83,29.17,7.58,53767,305.9,590.04,11590000.0,Regional Town/City,0.0,0,,100.0,fire-extent-severity-mapping-results-2018-19.xlsx,7.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,True,,
Albury,albury,2019,2019-20,time-series-data-2019-2020.xlsx,Councils,4,32016000.0,30440000.0,-1576000.0,105.17739816031538,True,True,False,18.67,1.93,3.05,80.98,19.02,5.17,54353,305.9,591.38,13822000.0,Regional Town/City,21.76,<1,,10.0,fire-extent-severity-mapping-results-2019-20.xlsx,7.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,False,,
Albury,albury,2020,2020-21,time-series-data-2020-2021.xlsx,Councils,4,29061000.0,28533000.0,-528000.0,101.8504889075807,True,True,False,20.95,2.05,-2.57,72.7,27.30194815446308,2.97,55055,305.9,595.09,13856000.0,Regional Town/City,0.0,0,,10.0,fire-extent-severity-mapping-results-2020-21.xlsx,7.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,True,,
Albury,albury,2021,2021-22,time-series-data-2021-22.xlsx,Councils,4,30875000.0,29738000.0,-1137000.0,103.82339094760913,True,True,False,21.5467,3.156,-2.11,73.29,26.71280603748627,5.4791,56036,305.6,601.52,16465000.0,Regional Town/City,0.0,0,,10.0,fire-extent-severity-mapping-results-2021-22.xlsx,7.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,1,1001,listed_event_onset,1,1001,listed_event_onset,0.0,1.0,0.0,0.0,False,False,False,,
Albury,albury,2022,2022-23,time-series-data-2022-23.xlsx,Councils,4,33167000.0,31169000.0,-1998000.0,106.41021527800058,True,True,False,22.0165,2.4328,-6.05,74.58,25.41866455755299,4.3061,56666,305.6,604.08,17546000.0,Regional Town/City,30.67,0.09,0.0,10.0,fire-extent-severity-mapping-results-2022-23.xlsx,8.0,mapped_burn_positive,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,2,1030|1034,listed_event_onset,2,1030|1034,listed_event_onset,0.0,2.0,0.0,1.0,False,False,False,,
Albury,albury,2023,2023-24,time-series-data-2023-24.xlsx,Councils ,4,40318000.0,36870000.0,-3448000.0,109.35177651206943,True,True,False,18.5637,1.5758,-6.61,81.48,18.52087074591564,4.0321,58317,305.6,606.9290000000001,18697962.7318,Regional Town/City,0.0,0,0.0,10.0,fire-extent-severity-mapping-results-2023-24.xlsx,8.0,verified_zero_mapped_burn_within_source_scope,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,2.0,False,True,False,,
Albury,albury,2024,2024-25,time-series-data-2024-2025.xlsx,Councils ,4,36700000.0,36276000.0,-424000.0,101.16881684860512,True,True,False,,,,,19.7955206883462,,58317,305.6,598.32,19567987.9784,Regional Town/City,,,,,,,unknown_source_not_acquired,False,entity_name_compatible_polygon_vintage_not_verified,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,False,,
Armidale Regional,armidale,2017,2017-18,time-series-data-2017-2018.xls,2017-18 DATA (Final),5,32355000.0,33609000.0,1254000.0,96.26885655627956,True,True,False,13.37,1.53,-8.73,71.27,28.725699450930087,2.81,30594,8620.7,2041.08,11602000.0,Regional Town/City,9462.5,1.1,,100.0,fire-extent-severity-mapping-results-2017-18.xlsx,12.0,mapped_burn_positive,True,known_2019_2020_transfer_exclude_from_strict_comparison,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0,,no_listed_event_onset_not_physical_zero,0.0,0.0,0.0,0.0,False,True,False,,
Armidale Regional,armidale,2018,2018-19,time-series-data-2018-2019.xlsx,2018_19_Councils,5,20981000.0,24117000.0,3136000.0,86.99672430235933,True,True,False,11.62,2.4,1.91,65.51,34.489999999999995,4.47,30707,8620.7,2043.18,4376000.0,Regional Town/City,19518.93,2.25,,100.0,fire-extent-severity-mapping-results-2018-19.xlsx,12.0,mapped_burn_positive,True,known_2019_2020_transfer_exclude_from_strict_comparison,unknown_no_complete_inundation_inventory,False,2,843|847,listed_event_onset,1,834,listed_event_onset,3,834|843|847,listed_event_onset,0.0,3.0,0.0,0.0,False,False,False,,
Armidale Regional,armidale,2019,2019-20,time-series-data-2019-2020.xlsx,Councils,5,18194000.0,20550000.0,2356000.0,88.5352798053528,True,True,False,13.91,2.64,0.9,58.56,41.44,4.06,30779,8620.7,1856.82,4171000.0,Regional Town/City,200453.42,23.19,,10.0,fire-extent-severity-mapping-results-2019-20.xlsx,12.0,mapped_burn_positive,True,known_2019_2020_transfer_exclude_from_strict_comparison,unknown_no_complete_inundation_inventory,False,1,871,listed_event_onset,1,898,listed_event_onset,2,871|898,listed_event_onset,0.0,2.0,0.0,3.0,False,False,False,,
Armidale Regional,armidale,2020,2020-21,time-series-data-2020-2021.xlsx,Councils,5,16582000.0,23000000.0,6418000.0,72.09565217391304,True,True,False,15.5,2.41,6.93,68.47,31.52732318578072,6.11,29704,8620.7,1857.96,3297000.0,Regional Town/City,47.16,0,,10.0,fire-extent-severity-mapping-results-2020-21.xlsx,12.0,mapped_burn_positive,True,known_2019_2020_transfer_exclude_from_strict_comparison,unknown_no_complete_inundation_inventory,False,0,,no_listed_event_onset_not_physical_zero,3,936|943|960,listed_event_onset,3,936|943|960,listed_event_onset,0.0,3.0,0.0,2.0,False,False,False,,
