council,fy_end,actual_maintenance_aud000,required_maintenance_aud000,renewal_aud000,renewal_denominator_aud000,maintenance_ratio_pct,renewal_ratio_pct,source_key,pdf_page,source_url,warning,validated_secondary_displacement
Lismore,2020,10713,11734,9670,19735,91.3,49.0,lismore2020,128,https://www.lismore.nsw.gov.au/files/assets/public/v/2/5.-council/7.-about-council/6.-corporate-information/2019-20-financial-report.pdf,"Aggregate, includes potentially disaster-related work; no unaffected-asset separation. Source vintage retained: 2020 renewal ratio restated in 2021; 2021 backlog comparative changes in 2022.",False
Lismore,2021,10394,12073,23307,30309,86.09,76.9,lismore2021,126,https://www.lismore.nsw.gov.au/files/assets/public/v/2/5.-council/7.-about-council/6.-corporate-information/2020-21-financial-report-with-audit-reports.pdf,"Aggregate, includes potentially disaster-related work; no unaffected-asset separation. Source vintage retained: 2020 renewal ratio restated in 2021; 2021 backlog comparative changes in 2022.",False
Lismore,2022,10368,12931,24515,107856,80.18,22.73,lismore2022,123,https://www.lismore.nsw.gov.au/files/assets/public/v/2/5.-council/7.-about-council/6.-corporate-information/annual_financial_statements-2022.pdf,"Aggregate, includes potentially disaster-related work; no unaffected-asset separation. Source vintage retained: 2020 renewal ratio restated in 2021; 2021 backlog comparative changes in 2022.",False
Lismore,2023,18122,16944,63351,24459,106.95,259.01,lismore2023,126,https://www.lismore.nsw.gov.au/files/assets/public/v/2/5.-council/7.-about-council/6.-corporate-information/annual_financial_statements-2023.pdf,"Aggregate, includes potentially disaster-related work; no unaffected-asset separation. Source vintage retained: 2020 renewal ratio restated in 2021; 2021 backlog comparative changes in 2022.",False
Lismore,2024,22141,18172,93590,48696,121.84,192.19,lismore2024,116,https://www.lismore.nsw.gov.au/files/assets/public/v/1/5.-council/6.-corporate-information/annual_financial_statements-2024_lismore-city-council.pdf,"Aggregate, includes potentially disaster-related work; no unaffected-asset separation. Source vintage retained: 2020 renewal ratio restated in 2021; 2021 backlog comparative changes in 2022.",False
Kyogle,2021,5649,5021,19844,16119,112.51,123.11,kyogle2021,112,https://www.kyogle.nsw.gov.au/wp-content/uploads/2021/10/Kyogle-Council-Annual-Financial-Statements-2021.pdf,"Aggregate, includes potentially disaster-related work; no unaffected-asset separation.",False
Kyogle,2022,5175,5084,31846,26703,101.79,119.26,kyogle2022,114,https://www.kyogle.nsw.gov.au/wp-content/uploads/2022/12/Annual_Financial_Statements-2022.pdf,"Aggregate, includes potentially disaster-related work; no unaffected-asset separation.",False
Kyogle,2023,4739,5148,76108,8335,92.06,913.11,kyogle2023,110,https://www.kyogle.nsw.gov.au/wp-content/uploads/2023/12/Kyogle-Council-Annual_Financial_Statements-2023.pdf,"Aggregate, includes potentially disaster-related work; no unaffected-asset separation.",False
Kyogle,2024,5562,5311,75541,7536,104.73,1002.4,kyogle2024,108,https://www.kyogle.nsw.gov.au/wp-content/uploads/2024/11/Kyogle-Council-Financial-Statements-2023-24.pdf,"Aggregate, includes potentially disaster-related work; no unaffected-asset separation.",False
Richmond Valley,2021,6982,5386,12236,14122,129.63,86.64,richmond2021,115,https://richmondvalley.nsw.gov.au/wp-content/uploads/2021/11/Richmond-Valley-Council-Financial-Statements-2020-2021.pdf,"Aggregate, includes potentially disaster-related work; no unaffected-asset separation.",False
Richmond Valley,2022,9335,5751,18221,14546,162.32,125.26,richmond2022,126,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Annual_Financial_Statements-2022.pdf,"Aggregate, includes potentially disaster-related work; no unaffected-asset separation.",False
Richmond Valley,2023,10407,5851,27882,15277,177.87,182.51,richmond2023,122,https://richmondvalley.nsw.gov.au/wp-content/uploads/2023/11/FINAL-Annual_Financial_Statements-2023.pdf,"Aggregate, includes potentially disaster-related work; no unaffected-asset separation.",False
Richmond Valley,2024,7942,6050,34787,56761,131.27,61.29,richmond2024,120,https://richmondvalley.nsw.gov.au/wp-content/uploads/2024/10/Richmond-Valley-Council-Financial-Statements-for-the-year-ended-30-June-2024.pdf,"Aggregate, includes potentially disaster-related work; no unaffected-asset separation.",False
Richmond Valley,2025,9472,6325,16932,24769,149.75,68.36,richmond2025,121,https://richmondvalley.nsw.gov.au/wp-content/uploads/2026/04/Richmond-Valley-Council-Financial-Statements-for-the-year-ended-30-June-2025.pdf,"Aggregate, includes potentially disaster-related work; no unaffected-asset separation.",False
Tweed,2023,49649,24859,16688,46992,199.72,35.51,tweed2023,122,https://www.tweed.nsw.gov.au/files/assets/public/v/1/documents/council/annual-and-financial-reports/financial-statements-2022-2023.pdf,"Aggregate, includes potentially disaster-related work; no unaffected-asset separation. 2023 renewal ratio differs between original 2023 (35.51%) and 2024 comparative (110.15%); unresolved.",False
Tweed,2024,52207,48986,151463,57263,106.58,264.5,tweed2024,114,https://www.tweed.nsw.gov.au/files/assets/public/v/1/documents/council/annual-and-financial-reports/tweed-shire-council-financial-statements-2023-24.pdf,"Aggregate, includes potentially disaster-related work; no unaffected-asset separation. 2023 renewal ratio differs between original 2023 (35.51%) and 2024 comparative (110.15%); unresolved.",False
