council,fy_end,actual_maintenance,required_maintenance,maintenance_ratio_raw,backlog_ratio,cash_cover,population_as_published,operating_ratio_raw,unrestricted_current_ratio,maintenance_ratio_recomputed,maintenance_zero_denominator,maintenance_scale_expected,maintenance_ratio_normalized,ratio_discrepancy
Albury,2019,29652000.0,30059000.0,98.65,2.95,1.22,53767,13.69,2.41,0.9864599620745866,False,100,0.9865,4.003792541340534e-05
Armidale Regional,2019,20981000.0,24117000.0,87.0,5.41,11.62,30707,1.91,2.4,0.8699672430235933,False,100,0.87,3.275697640670039e-05
Ballina,2019,6697000.0,6436000.0,104.06,1.68,12.69,44208,6.96,3.21,1.0405531385954008,False,100,1.0406,4.686140459919663e-05
Balranald,2019,2739000.0,2863000.0,95.67,3.35,11.94,2340,-3.35,3.78,0.9566887879846315,False,100,0.9567,1.1212015368466943e-05
Bathurst Regional,2019,28650000.0,19576000.0,146.35,9.16,8.9,43206,-15.36,0.87,1.4635267674703718,False,100,1.4635,-2.6767470371780178e-05
Bayside,2019,17373000.0,18220000.0,95.0,2.0,29.7,174378,4.6,4.7,0.9535126234906696,False,100,0.95,-0.0035126234906696086
Bega Valley,2019,27335000.0,34165000.0,80.0,1.2,12.2,34348,-9.9,0.6,0.8000878091614225,False,100,0.8,-8.780916142248074e-05
Bellingen,2019,3923000.0,3923000.0,100.0,5.97,3.19,12963,-12.43,1.46,1.0,False,100,1.0,0.0
Berrigan,2019,5551000.0,4660000.0,119.12,0.0,29.33,8707,8.65,6.79,1.1912017167381974,False,100,1.1912,-1.7167381973770546e-06
Blacktown,2019,69497000.0,71499000.0,97.2,2.25,19.12,366534,-6.7,3.15,0.9719996083861313,False,100,0.972,3.91613868666596e-07
Bland,2019,5419000.0,4756000.0,113.94,14.92,28.43,5985,59.77,16.52,1.1394028595458368,False,100,1.1394,-2.8595458367863813e-06
Blayney,2019,3051000.0,2923000.0,104.38,8.57,13.1,7342,-0.6,3.94,1.043790626069107,False,100,1.0438,9.373930893064042e-06
Blue Mountains,2019,23520000.0,23761000.0,98.99,1.77,3.13,79260,-4.81,1.69,0.989857329236985,False,100,0.9899,4.267076301500694e-05
Bogan,2019,4559000.0,4731000.0,96.36,2.14,9.49,2621,2.05,7.82,0.9636440498837455,False,100,0.9636,-4.4049883745511664e-05
Bourke,2019,5129000.0,5350000.0,95.87,2.01,17.65,2630,2.63,4.32,0.9586915887850467,False,100,0.9587,8.411214953318868e-06
