agrn,source_fy,lga_raw,council,source_url,repair_note,out_of_scope,extension_note
911,2018-19,Berrigan,Berrigan,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
869,2018-19,Carrathool,Carrathool,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
868,2018-19,Gilgandra,Gilgandra,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
868,2018-19,Warrumbungle,Warrumbungle,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
864,2018-19,Tenterfield,Tenterfield,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
843,2018-19,Armidale,Armidale Regional,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
843,2018-19,Inverell,Inverell,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
843,2018-19,Kyogle,Kyogle,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
843,2018-19,Tenterfield,Tenterfield,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
862,2018-19,Tamworth,Tamworth Regional,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
862,2018-19,Upper Hunter,Upper Hunter,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
867,2018-19,Muswellbrook,Muswellbrook,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
867,2018-19,Singleton,Singleton,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
861,2018-19,Cumberland,Cumberland,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
861,2018-19,Hornsby,Hornsby,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
861,2018-19,Liverpool,Liverpool,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
861,2018-19,Parramatta,Parramatta,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
861,2018-19,The Hills,The Hills,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
861,2018-19,Wollongong,Wollongong,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
857,2018-19,Cootamundra-Gundagai,Cootamundra-Gundagai Regional,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
857,2018-19,Hilltops,Hilltops,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
856,2018-19,Greater Hume,Greater Hume,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
856,2018-19,Parkes,Parkes,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,False,
