agrn,source_fy,hazard_raw,event_name,assistance_raw,source_url,event_start,date_parse_status
911,2018-19,Storm and flood,Berrigan Shire Storms – 29 June 2019 onwards,,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,unresolved; retain original text
869,2018-19,Flood,NSW – Carrathool Floods: 22 April 2019 onwards,,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,unresolved; retain original text
868,2018-19,Storm and flood,Central West and Orana Storms and Floods: 29 March 2019 onwards,,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,unresolved; retain original text
864,2018-19,Bushfire,Tenterfield Bushfires: 9 March 2019 onwards,,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,unresolved; retain original text
843,2018-19,Bushfire,Northern NSW Bushfires: 11 February 2019 onwards,,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,unresolved; retain original text
862,2018-19,Bushfire,Tamworth Regional and Upper Hunter Bushfires: 11 February 2019 onwards,,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,unresolved; retain original text
867,2018-19,Bushfire,Singleton and Muswellbrook Bushfires: 11 February 2019 onwards,,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,unresolved; retain original text
861,2018-19,Storm,Eastern NSW Storms: 8 February 2019 onwards,,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,unresolved; retain original text
857,2018-19,Storm and flood,Hilltops and Cootamundra-Gundagai Storms and Floods: 5 February 2019 onwards,,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,unresolved; retain original text
856,2018-19,Storm,Parkes and Greater Hume Storms: 22 and 23 January 2019 onwards,,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,unresolved; retain original text
860,2018-19,Bushfire,Snowy Valleys Bushfires: 17 January 2019 onwards,,https://www.nsw.gov.au/departments-and-agencies/nsw-reconstruction-authority/about-us/recovery/natural-disaster-declarations/fy-2018-19,,unresolved; retain original text
