council,fy_end,metric,amount_aud000,source_url,pdf_or_printed_page,measurement_status
Richmond Valley,2021,Natural disaster capital-only contract assets,2509,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Annual_Financial_Statements-2022.pdf,PDF 38; note C1-6,"Gross conditional payment rights; excludes receivables, operating claims and advances. Not net cash prefunding; not event isolated."
Richmond Valley,2022,Natural disaster capital-only contract assets,1122,https://richmondvalley.nsw.gov.au/wp-content/uploads/2022/11/Annual_Financial_Statements-2022.pdf,PDF 38; note C1-6,"Gross conditional payment rights; excludes receivables, operating claims and advances. Not net cash prefunding; not event isolated."
Richmond Valley,2023,Natural disaster capital-only contract assets,5335,https://richmondvalley.nsw.gov.au/wp-content/uploads/2023/11/FINAL-Annual_Financial_Statements-2023.pdf,PDF 38; note C1-6,"Gross conditional payment rights; excludes receivables, operating claims and advances. Not net cash prefunding; not event isolated."
Richmond Valley,2024,Natural disaster capital-only contract assets,1891,https://richmondvalley.nsw.gov.au/wp-content/uploads/2024/10/Richmond-Valley-Council-Financial-Statements-for-the-year-ended-30-June-2024.pdf,PDF 38; note C1-6,"Gross conditional payment rights; excludes receivables, operating claims and advances. Not net cash prefunding; not event isolated."
Richmond Valley,2025,Natural disaster capital-only contract assets,1294,https://richmondvalley.nsw.gov.au/wp-content/uploads/2026/04/Richmond-Valley-Council-Financial-Statements-for-the-year-ended-30-June-2025.pdf,PDF 38; note C1-6,"Gross conditional payment rights; excludes receivables, operating claims and advances. Not net cash prefunding; not event isolated."
Lismore,2022,All government-grant contract assets,5200,https://www.lismore.nsw.gov.au/files/assets/public/v/2/5.-council/7.-about-council/6.-corporate-information/annual_financial_statements-2022.pdf,Note C1-6,Mixed grants; disaster mentioned in narrative but cannot isolate it. Not a financing gap.
Lismore,2023,All government-grant contract assets,10092,https://www.lismore.nsw.gov.au/files/assets/public/v/2/5.-council/7.-about-council/6.-corporate-information/annual_financial_statements-2023.pdf,Note C1-6,Mixed grants; disaster mentioned in narrative but cannot isolate it. Not a financing gap.
Lismore,2024,All government-grant contract assets,21263,https://www.lismore.nsw.gov.au/files/assets/public/v/1/5.-council/6.-corporate-information/annual_financial_statements-2024_lismore-city-council.pdf,Note C1-6,Mixed grants; disaster mentioned in narrative but cannot isolate it. Not a financing gap.
Kyogle,2022,Transport grant contract assets,400,https://www.kyogle.nsw.gov.au/wp-content/uploads/2022/12/Annual_Financial_Statements-2022.pdf,Note C1-6,Mixed programs; 2024 includes flood but no split. Not a financing gap.
Kyogle,2023,Transport grant contract assets,1384,https://www.kyogle.nsw.gov.au/wp-content/uploads/2023/12/Kyogle-Council-Annual_Financial_Statements-2023.pdf,Note C1-6,Mixed programs; 2024 includes flood but no split. Not a financing gap.
Kyogle,2024,Transport grant contract assets,2876,https://www.kyogle.nsw.gov.au/wp-content/uploads/2024/11/Kyogle-Council-Financial-Statements-2023-24.pdf,Note C1-6,Mixed programs; 2024 includes flood but no split. Not a financing gap.
Lismore,2023,Reported cash advanced from reserves: Natural Disaster grants,3660.884,https://infocouncil.lismore.nsw.gov.au/Open/2023/11/OC_21112023_AGN_AT.PDF,"Printed page 74, item 11.5 attachment 1",Read from indexed original council document; full PDF timed out. Council explicitly reports cash prefunding. Not isolated to 2022 event; no claim-age history.
