council,tranche_announced,announcement_date,rollout_month_reference,agreement_execution_date,first_cash_date,status,source_url
Ballina,1,2024-11-27,2024-02,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Byron,1,2024-11-27,2024-02,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Clarence Valley,1,2024-11-27,2024-02,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Kyogle,1,2024-11-27,2024-02,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Lismore,1,2024-11-27,2024-02,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Lithgow,1,2024-11-27,2024-02,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Richmond Valley,1,2024-11-27,2024-02,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Tweed,1,2024-11-27,2024-02,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Armidale Regional,1,2024-11-27,2024-02,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Central Coast,1,2024-11-27,2024-02,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Wingecarribee,1,2024-11-27,2024-02,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Blue Mountains,2,2024-11-27,2024-04,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Cabonne,2,2024-11-27,2024-04,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Weddin,2,2024-11-27,2024-04,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Forbes,2,2024-11-27,2024-04,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Lachlan,2,2024-11-27,2024-04,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Parkes,2,2024-11-27,2024-04,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Shoalhaven,2,2024-11-27,2024-04,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Tenterfield,2,2024-11-27,2024-04,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Moree Plains,3,2024-11-27,2025-05,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Narrabri,3,2024-11-27,2025-05,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Walgett,3,2024-11-27,2025-05,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Coonamble,3,2024-11-27,2025-05,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Warren,3,2024-11-27,2025-05,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Brewarrina,3,2024-11-27,2025-05,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Nambucca Valley,3,2024-11-27,2025-05,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Kempsey,3,2024-11-27,2025-05,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Bellingen,3,2024-11-27,2025-05,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Gunnedah,3,2024-11-27,2025-05,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Queanbeyan-Palerang Regional,3,2024-11-27,2025-05,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Snowy Monaro Regional,3,2024-11-27,2025-05,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Kiama,3,2024-11-27,2025-05,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
Upper Lachlan,3,2024-11-27,2025-05,,,roster evidence; individual start unverified,https://www.nsw.gov.au/media-releases/more-councils-line-for-accelerated-disaster-recovery-payments
